,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-2.189818848007353e-09,-1.622820958155796e-09,-1.153020777604465e-09,-8.534656522529276e-10,-6.303128018178939e-10,-4.542996733722551e-10,-3.284825005280485e-10,-2.355535043298841e-10,-1.7020616627886347e-10,-1.2701978811639912e-10,-9.417606062528046e-11,-6.628184710090424e-11,-4.972676772258685e-11,-4.078667213608571e-11,-3.2195636571243516e-11,-2.5109754819863048e-11,-1.813513696375571e-11,-1.2706660011328605e-11,-5.429619581563949e-10,-4.4371523702534596e-10,-3.684829484014303e-10,-2.959972702765025e-10,-2.3380388006570686e-10,-1.83731615325702e-10,-1.441524051027465e-10,-1.1333807748292786e-10,-9.408702986478066e-11,-7.547545191778762e-11,-5.965920825949354e-11,-5.0516472335949663e-11,-3.86840165871012e-11,-2.869338253952435e-11,-2.1078972250348824e-11,-1.4635585539680363e-11,-9.805321359206851e-12,-6.456554463301395e-12,-4.782135644662179e-12,-3.1491252128480475e-12,-1.9983347095097125e-12,-1.2482285831061761e-12,-7.407536282112191e-13
1,-3.417713811484592e-09,-2.5194920637974733e-09,-1.733492836452803e-09,-1.223991228139686e-09,-8.521158629487546e-10,-5.708935944621407e-10,-3.846590950971419e-10,-2.587255497906321e-10,-1.7861635982103644e-10,-1.3025593319761988e-10,-9.530140811784021e-11,-6.671985902170482e-11,-5.0046362448530937e-11,-4.10719711860405e-11,-3.244744044639338e-11,-2.5324618643498504e-11,-1.8307297898243896e-11,-1.2837127548026016e-11,-6.692207034164269e-10,-5.250990699481274e-10,-4.2262895955930664e-10,-3.274101800820611e-10,-2.5024345927944665e-10,-1.9177180720684826e-10,-1.4795380893520295e-10,-1.1522069605394856e-10,-9.537926277765183e-11,-7.636060202287743e-11,-6.022324324702452e-11,-5.096462921387388e-11,-3.8990645233695044e-11,-2.8908909845104124e-11,-2.1234328418044352e-11,-1.4743187612333787e-11,-9.87819162055524e-12,-6.5055704576306894e-12,-4.819056671080394e-12,-3.1741600953532858e-12,-2.01482258576772e-12,-1.2590208105822343e-12,-7.475566083356918e-13
2,-3.4702773882442255e-09,-2.5713443846983077e-09,-1.7843838237156337e-09,-1.2705508475709763e-09,-8.922234970108646e-10,-6.030365548569144e-10,-4.085943374990202e-10,-2.7523504963561e-10,-1.8934581505137644e-10,-1.3721923102331806e-10,-9.96253729721401e-11,-6.913098975347009e-11,-5.156328310118936e-11,-4.220950297455544e-11,-3.322379876172336e-11,-2.5861919706665368e-11,-1.8630715715545232e-11,-1.3021921542671335e-11,-7.006977012222955e-10,-5.508989458101069e-10,-4.433434700149386e-10,-3.4306978983280005e-10,-2.614891548554532e-10,-1.9958222565301423e-10,-1.5323591510083268e-10,-1.1873389907644113e-10,-9.800574211025373e-11,-7.821822355431838e-11,-6.145348833863414e-11,-5.190526675539586e-11,-3.9573267644563804e-11,-2.9246876876568764e-11,-2.1423987437148856e-11,-1.483412348455687e-11,-9.913103709939323e-12,-6.512869981990881e-12,-4.819118174423054e-12,-3.1686076990526605e-12,-2.007741518972766e-12,-1.2525454586342875e-12,-7.425024814395453e-13
3,-3.4791816807332456e-09,-2.614495260352789e-09,-1.8523924844395002e-09,-1.3439701151214662e-09,-9.615085233642963e-10,-6.620009167554478e-10,-4.5404508287609117e-10,-3.0729258471634123e-10,-2.1042644524699088e-10,-1.509329983368982e-10,-1.0810823327760844e-10,-7.379699316407563e-11,-5.4458621927592536e-11,-4.4370728890382095e-11,-3.4687001123304815e-11,-2.6877818849396247e-11,-1.9251960547087097e-11,-1.3393942418639164e-11,-7.576695328575667e-10,-5.993643941193363e-10,-4.833378203955934e-10,-3.742569663031976e-10,-2.844984725760583e-10,-2.158488791451772e-10,-1.6433973509289787e-10,-1.2616479966021397e-10,-1.0359290828324762e-10,-8.220751470313466e-11,-6.413923716694206e-11,-5.399015543701185e-11,-4.091557925895568e-11,-3.0082340357441255e-11,-2.1949879886508717e-11,-1.51471867566238e-11,-1.0094639014132016e-11,-6.617515930931036e-12,-4.891595776767429e-12,-3.2109961563268038e-12,-2.0310664252094864e-12,-1.264851392493925e-12,-7.483642350935525e-13
4,-3.5184002164906953e-09,-2.664046920475597e-09,-1.911571082307867e-09,-1.4044562789187468e-09,-1.0180480224750843e-09,-7.10636168566634e-10,-4.923900728189608e-10,-3.350809234319349e-10,-2.2914649310807928e-10,-1.6325564317634486e-10,-1.1574049567848607e-10,-7.79225803457767e-11,-5.696192349781226e-11,-4.622281913029461e-11,-3.592101541019429e-11,-2.7735362161843885e-11,-1.978479917768367e-11,-1.3730497097432215e-11,-8.060961646504474e-10,-6.408473192352832e-10,-5.179255958461153e-10,-4.015958383575732e-10,-3.0497136762863907e-10,-2.305067520643899e-10,-1.7442108211076005e-10,-1.329147881659995e-10,-1.0866087721178313e-10,-8.582156020306581e-11,-6.657102888029284e-11,-5.588827033887737e-11,-4.215730107900023e-11,-3.088715544557925e-11,-2.2492865170100226e-11,-1.550887694053417e-11,-1.0337510421618397e-11,-6.781871592716535e-12,-5.015020166866811e-12,-3.293873307830805e-12,-2.084315300682351e-12,-1.2982142316515172e-12,-7.680134406188671e-13
5,-3.628891626510609e-09,-2.7436317948252844e-09,-1.9711928281250914e-09,-1.4532137753902059e-09,-1.0582486805195406e-09,-7.429221661037562e-10,-5.174288427720691e-10,-3.5348459973940277e-10,-2.4201739479415966e-10,-1.7215284999856169e-10,-1.216351243058713e-10,-8.146483756044923e-11,-5.933601917204296e-11,-4.808317442866097e-11,-3.729159551032153e-11,-2.8769532247845034e-11,-2.0509305153871803e-11,-1.42389177315995e-11,-8.403083605551815e-10,-6.694483938180071e-10,-5.417691594161458e-10,-4.2062632710462943e-10,-3.1960810895376656e-10,-2.414574634637579e-10,-1.8243275860351386e-10,-1.3870931708556567e-10,-1.1323840354838077e-10,-8.92994211628878e-11,-6.913953936048059e-11,-5.800178313124038e-11,-4.3697985183625225e-11,-3.199884742147171e-11,-2.330789553946705e-11,-1.608639879469329e-11,-1.0738713170262003e-11,-7.056897608071039e-12,-5.222117398775886e-12,-3.4335667170123026e-12,-2.174612923744037e-12,-1.3552237652979078e-12,-8.019617939170648e-13
6,-3.856625449643834e-09,-2.928179102175032e-09,-2.119248682770934e-09,-1.574828219580451e-09,-1.1572174156590001e-09,-8.210467480074837e-10,-5.77500444774578e-10,-3.9788718639186986e-10,-2.7376092325977554e-10,-1.9474639455664685e-10,-1.370947781046301e-10,-9.098620678787429e-11,-6.565209404189332e-11,-5.2889636681227864e-11,-4.06577997688588e-11,-3.1127883086039294e-11,-2.1955629823924614e-11,-1.50850908756059e-11,-9.221069295750697e-10,-7.384042267573963e-10,-5.996471062681933e-10,-4.671980104546186e-10,-3.5569122415109423e-10,-2.685373020573317e-10,-2.021569116999467e-10,-1.5276588135453788e-10,-1.2411270971066057e-10,-9.727091413589608e-11,-7.471068303782093e-11,-6.237214662847534e-11,-4.656735208151373e-11,-3.378407505521765e-11,-2.4408037318990294e-11,-1.6715112749080126e-11,-1.1087027581647595e-11,-7.2527894223284444e-12,-5.359649306753845e-12,-3.516940684496373e-12,-2.223956357765449e-12,-1.3843634416611045e-12,-8.183671872443284e-13
7,-4.195273004621625e-09,-3.1637327854324435e-09,-2.270092757211828e-09,-1.6734070999197379e-09,-1.2187472436364813e-09,-8.555861840477438e-10,-5.955240067058375e-10,-4.0618687698888217e-10,-2.773576971880051e-10,-1.9668021960854216e-10,-1.384602332581544e-10,-9.232979031966289e-11,-6.70393677333585e-11,-5.423357609771335e-11,-4.19547379800483e-11,-3.229338252369153e-11,-2.2944521578193473e-11,-1.587032362182571e-11,-9.582736194773722e-10,-7.624994013846199e-10,-6.162622829136124e-10,-4.77556777621264e-10,-3.6197638822362573e-10,-2.7267584913114484e-10,-2.0535572046155294e-10,-1.5561095325456565e-10,-1.2676514654254096e-10,-9.971117606807442e-11,-7.694693461787502e-11,-6.442387968306486e-11,-4.835589382570952e-11,-3.526576946520758e-11,-2.5584301562152182e-11,-1.7577193407679332e-11,-1.167863781945542e-11,-7.640414692777338e-12,-5.642381916495169e-12,-3.697784581236522e-12,-2.3341087657062738e-12,-1.4498047896296002e-12,-8.54828789632427e-13
8,-4.553414728862078e-09,-3.390472820290872e-09,-2.3960775333554294e-09,-1.7445110318694568e-09,-1.2550319954477045e-09,-8.696014895850837e-10,-5.985198055190287e-10,-4.0439135404740487e-10,-2.7449023662583535e-10,-1.9430708460200798e-10,-1.3690905256917873e-10,-9.16843650542762e-11,-6.689408408428282e-11,-5.4289504807141114e-11,-4.219996671927443e-11,-3.262460249688699e-11,-2.3325374409082673e-11,-1.6239639331165867e-11,-9.78389156545355e-10,-7.722970162568865e-10,-6.208005641028774e-10,-4.783113663646551e-10,-3.6110002273509447e-10,-2.7166454195143485e-10,-2.0483299621253677e-10,-1.5563483757900599e-10,-1.2706733804438836e-10,-1.0024109441927348e-10,-7.76503768585061e-11,-6.517144308883401e-11,-4.914164759562951e-11,-3.6017998347944287e-11,-2.625249572395646e-11,-1.8123392114728896e-11,-1.209401728450531e-11,-7.938757778239805e-12,-5.868440897541512e-12,-3.850978507819467e-12,-2.4324007427254365e-12,-1.5107709559146938e-12,-8.900446359874689e-13
9,-5.056717312176333e-09,-3.7141836892022287e-09,-2.5796485471371377e-09,-1.8509653310450757e-09,-1.3123483287906571e-09,-8.952415266705045e-10,-6.080102755590244e-10,-4.061797498256936e-10,-2.736005975526754e-10,-1.929897058955003e-10,-1.357508666695684e-10,-9.091535885621353e-11,-6.639133196999773e-11,-5.391741587496754e-11,-4.1952466486650016e-11,-3.24630396988698e-11,-2.32404279018661e-11,-1.6203023581628306e-11,-1.0115454267453168e-09,-7.903027440523995e-10,-6.310377315941999e-10,-4.827700971075962e-10,-3.6259482182388305e-10,-2.7198642642296593e-10,-2.0472483653153547e-10,-1.5536298258262182e-10,-1.2680166006174768e-10,-1.0001950589214998e-10,-7.747085862085222e-11,-6.502917463660807e-11,-4.904735725871765e-11,-3.596319489549589e-11,-2.6223199100314764e-11,-1.811093077049575e-11,-1.2089994750017478e-11,-7.937119532322992e-12,-5.866041542303868e-12,-3.847611013484485e-12,-2.4281193806080547e-12,-1.5060862106398612e-12,-8.855488089315915e-13
