,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-3.0100416502026892e-09,-2.2623157162587573e-09,-1.6036550285794904e-09,-1.1645461777342983e-09,-8.34317453185366e-10,-5.756896795913528e-10,-3.9595923717070044e-10,-2.6887518967639793e-10,-1.8469833320298858e-10,-1.3275214894993285e-10,-9.522801651674854e-11,-6.507784028272486e-11,-4.8076480650775585e-11,-3.9217569566412965e-11,-3.0713886698415394e-11,-2.386153691331684e-11,-1.7168441841550946e-11,-1.2021264765498356e-11,-6.663961456818187e-10,-5.284457321912878e-10,-4.271176171266877e-10,-3.3168854248224104e-10,-2.5291959832131787e-10,-1.9243897547790793e-10,-1.4688283268393156e-10,-1.1300833545981628e-10,-9.293062016133627e-11,-7.389510295548976e-11,-5.780963847856742e-11,-4.876705248096967e-11,-3.711462837236088e-11,-2.7447795638343654e-11,-2.0172218522297462e-11,-1.4059150673696137e-11,-9.485654725454538e-12,-6.304198163753581e-12,-4.693605359164549e-12,-3.11664615365946e-12,-1.9943342935325083e-12,-1.2549086566900968e-12,-7.49498396512759e-13
1,-3.2267101778516377e-09,-2.4061372847895854e-09,-1.6877863471849241e-09,-1.215288324042458e-09,-8.640233333631869e-10,-5.921307057740864e-10,-4.058037412980612e-10,-2.7546703475817277e-10,-1.897893294941874e-10,-1.3700176975006923e-10,-9.875736027339741e-11,-6.782386536517578e-11,-5.022363463484874e-11,-4.0987111323416154e-11,-3.2119203835938407e-11,-2.494299208370166e-11,-1.7926388609300353e-11,-1.2523970234033335e-11,-6.854737979635397e-10,-5.422958943401868e-10,-4.3805918620331403e-10,-3.4019416293999807e-10,-2.597186381687703e-10,-1.9803638315291106e-10,-1.5154920703325865e-10,-1.1688529711055257e-10,-9.62096585074446e-11,-7.655330052869635e-11,-5.992954421289199e-11,-5.054574153550975e-11,-3.8447177667013494e-11,-2.838857347049876e-11,-2.081325407888627e-11,-1.4454525035941557e-11,-9.710194591152228e-12,-6.4244102040104545e-12,-4.773355385603377e-12,-3.1597427269081934e-12,-2.016286399702605e-12,-1.2659567245133154e-12,-7.548421481976668e-13
2,-3.3291645885173454e-09,-2.4868012332669424e-09,-1.7490767683168405e-09,-1.262359370117925e-09,-8.993625410476527e-10,-6.173963920180423e-10,-4.233159857564791e-10,-2.8709016304101033e-10,-1.9733983411298347e-10,-1.4205078931305648e-10,-1.0206935994054174e-10,-6.98494643118813e-11,-5.1609981574208113e-11,-4.207972322817601e-11,-3.2931189389730415e-11,-2.555187792105536e-11,-1.8345118941468173e-11,-1.2806913404046483e-11,-7.111427648500925e-10,-5.626814559077223e-10,-4.543057553681035e-10,-3.5247090025121475e-10,-2.6865966808162016e-10,-2.044239491741672e-10,-1.5606356322358968e-10,-1.2008049158933175e-10,-9.871264577276492e-11,-7.843813773813046e-11,-6.130333173511483e-11,-5.1664167980515516e-11,-3.9244040226632105e-11,-2.894446537396004e-11,-2.12042790409046e-11,-1.4717689127510084e-11,-9.883266165676849e-12,-6.537140949527321e-12,-4.856107933319932e-12,-3.213256902060715e-12,-2.049238875301118e-12,-1.2856577747067173e-12,-7.657625486875381e-13
3,-3.4480490391450912e-09,-2.5815038258506744e-09,-1.8219461802665261e-09,-1.3186875260400077e-09,-9.417645572243656e-10,-6.47667906960337e-10,-4.441584853416139e-10,-3.007646491547752e-10,-2.0609343945752754e-10,-1.4783105965339642e-10,-1.058188795503635e-10,-7.212649105693454e-11,-5.31688440799671e-11,-4.331154878080773e-11,-3.3850560123810964e-11,-2.6244892012006874e-11,-1.8825509088420816e-11,-1.3134246759143055e-11,-7.425535799907495e-10,-5.873281112497615e-10,-4.73758357948267e-10,-3.669974380338204e-10,-2.791210248278854e-10,-2.1183723510523066e-10,-1.612852588026189e-10,-1.2378269959417852e-10,-1.0162518026092921e-10,-8.064667019232142e-11,-6.29292534879473e-11,-5.299728551431695e-11,-4.020739808580613e-11,-2.9627005299998364e-11,-2.1691143466550237e-11,-1.504917487405145e-11,-1.0102931562197814e-11,-6.680663502741361e-12,-4.961514714064416e-12,-3.281465566755766e-12,-2.0912455426643364e-12,-1.310776684778801e-12,-7.797501812928363e-13
4,-3.5871492433270345e-09,-2.6930503028028006e-09,-1.9083648251819674e-09,-1.385673414099315e-09,-9.921877772059833e-10,-6.835450210518823e-10,-4.686748686355303e-10,-3.1665569461755953e-10,-2.1610885486519648e-10,-1.5435026075199091e-10,-1.0998819777389167e-10,-7.462836603720002e-11,-5.4875135288122787e-11,-4.4660963579019085e-11,-3.4859094591688616e-11,-2.7007928475890647e-11,-1.935796714003966e-11,-1.3500457089062028e-11,-7.793590821172314e-10,-6.160702505928674e-10,-4.963285105726943e-10,-3.837376197354975e-10,-2.910866669982024e-10,-2.2026166140398914e-10,-1.671917856032161e-10,-1.279623808913201e-10,-1.0491621096413986e-10,-8.314808284492092e-11,-6.477733492680115e-11,-5.451740335776092e-11,-4.131303586006171e-11,-3.0416670841208556e-11,-2.225868969167523e-11,-1.543859705930815e-11,-1.0362579066949505e-11,-6.8507920288387846e-12,-5.086310418919996e-12,-3.362023852308762e-12,-2.1406887220934205e-12,-1.3402060288371123e-12,-7.960497740142608e-13
5,-3.764339673750854e-09,-2.8319691794301455e-09,-2.013761661377886e-09,-1.4664026041187017e-09,-1.0524115730913816e-09,-7.26053629906988e-10,-4.975256736387247e-10,-3.3521849769170876e-10,-2.2771499866077453e-10,-1.618572799968842e-10,-1.1476829663877562e-10,-7.750104696490231e-11,-5.685062889262045e-11,-4.6236408702544916e-11,-3.605232343047996e-11,-2.7924167923928956e-11,-2.0011964313317224e-11,-1.3961770184095022e-11,-8.24965466776052e-10,-6.516536631582733e-10,-5.24264661742472e-10,-4.0445399066119335e-10,-3.0589132719387786e-10,-2.3067698877644458e-10,-1.7448312676617605e-10,-1.3311383987496737e-10,-1.0897477240906825e-10,-8.623997127609082e-11,-6.707015916670928e-11,-5.641130831138915e-11,-4.2702729273003914e-11,-3.142166511618422e-11,-2.2990938783684766e-11,-1.594818322185736e-11,-1.0705825910080257e-11,-7.07637339311415e-12,-5.251371872558864e-12,-3.467997429091441e-12,-2.2051515301505696e-12,-1.3781932838452415e-12,-8.168331782155184e-13
6,-4.00086291197621e-09,-3.010424434567614e-09,-2.1440411496084077e-09,-1.56416064387715e-09,-1.1244746279202978e-09,-7.766860956141305e-10,-5.320526451681703e-10,-3.57710825642988e-10,-2.4204174045028706e-10,-1.7130475670563035e-10,-1.209171650963051e-10,-8.128871164291923e-11,-5.949557223237364e-11,-4.835860535924282e-11,-3.767462865221177e-11,-2.917644399235681e-11,-2.0911001958598388e-11,-1.4597373452925302e-11,-8.760957384430955e-10,-6.913156901320562e-10,-5.55391803477916e-10,-4.275890175747979e-10,-3.225462595371724e-10,-2.425386228867704e-10,-1.8292209467964083e-10,-1.3918667366631414e-10,-1.1381414962433334e-10,-8.997634601337177e-11,-6.989055293650531e-11,-5.87622113606547e-11,-4.4456609165000355e-11,-3.270728390564012e-11,-2.3934559845968175e-11,-1.6605357722770466e-11,-1.114532383627545e-11,-7.361024463135311e-12,-5.457580206348005e-12,-3.59812741491053e-12,-2.282765671263922e-12,-1.4229984653339531e-12,-8.408259017809269e-13
7,-4.333512776781639e-09,-3.2529291690655494e-09,-2.3128917610879314e-09,-1.686286225620866e-09,-1.211725437132706e-09,-8.363925718532938e-10,-5.722137849223809e-10,-3.8381092655250337e-10,-2.5882379043849653e-10,-1.8254876593461182e-10,-1.28394269453739e-10,-8.602671153076684e-11,-6.287395845707892e-11,-5.1097353895110455e-11,-3.980092565151436e-11,-3.083584255435241e-11,-2.2118256619486222e-11,-1.5458538085938973e-11,-9.387191688254369e-10,-7.395710842678449e-10,-5.932372398957445e-10,-4.5576382007685614e-10,-3.429469085872217e-10,-2.5719904187203046e-10,-1.9346985029324944e-10,-1.4686887048407885e-10,-1.1997508451334228e-10,-9.476387309787346e-11,-7.353386537552367e-11,-6.180847888830066e-11,-4.6741154932413146e-11,-3.438570864480638e-11,-2.516494177159831e-11,-1.745801552982544e-11,-1.171067508077164e-11,-7.723557811200816e-12,-5.71926449338513e-12,-3.7624272510461256e-12,-2.3805115009816675e-12,-1.4794762661494796e-12,-8.712075835454311e-13
8,-4.758759035051857e-09,-3.5563638572671315e-09,-2.51591881873468e-09,-1.8272487580936261e-09,-1.3081783063703359e-09,-8.994465847886488e-10,-6.13220452828416e-10,-4.09977063579697e-10,-2.7572880718197997e-10,-1.9414160202219977e-10,-1.3638621826828097e-10,-9.134298140579214e-11,-6.678745059501146e-11,-5.430819142193586e-11,-4.2337339816879456e-11,-3.282976794974853e-11,-2.3577054696548874e-11,-1.6496091366663604e-11,-1.0080093499769733e-09,-7.920972610029307e-10,-6.34185015768123e-10,-4.861628361062678e-10,-3.651006382272489e-10,-2.7340469478445093e-10,-2.054610861641343e-10,-1.5589532180201939e-10,-1.2733881779601395e-10,-1.0058221343940139e-10,-7.805192938588199e-11,-6.561145153058683e-11,-4.9623947528952995e-11,-3.6509241099546766e-11,-2.671373501026614e-11,-1.851835078314302e-11,-1.2402152207613154e-11,-8.15950761665452e-12,-6.031919013751211e-12,-3.956766430122922e-12,-2.4951575767940908e-12,-1.545302039474695e-12,-9.064077553464797e-13
9,-5.291938915341035e-09,-3.9333289180300874e-09,-2.7617112738491614e-09,-1.9921286370832044e-09,-1.4161391440719388e-09,-9.660997341874298e-10,-6.542111882977735e-10,-4.34915470498941e-10,-2.9149867480762816e-10,-2.0505015117835293e-10,-1.441082036757641e-10,-9.66977885420287e-11,-7.083972920791294e-11,-5.766729390704564e-11,-4.5029658802030007e-11,-3.4960503781187026e-11,-2.5146031097402587e-11,-1.761403617410124e-11,-1.08429537311033e-09,-8.481684483143488e-10,-6.769552548315871e-10,-5.171329300310986e-10,-3.872514963739031e-10,-2.8950062441638306e-10,-2.1744976666673445e-10,-1.650636272113002e-10,-1.348956372732985e-10,-1.0661870244670932e-10,-8.280096011625159e-11,-6.962897694740152e-11,-5.2694904753412905e-11,-3.8781156433039697e-11,-2.837174831783364e-11,-1.965112338961578e-11,-1.3138300424380852e-11,-8.621565412947843e-12,-6.3621718868776355e-12,-4.160682833631502e-12,-2.614270399910044e-12,-1.612783984481859e-12,-9.418528126894024e-13
