,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-3.0608469415383664e-09,-2.2626000073041037e-09,-1.5830201895716582e-09,-1.0805251065418965e-09,-7.392126787335348e-10,-5.028973903127351e-10,-3.4329517057687833e-10,-2.3724183801766014e-10,-1.6665327470383007e-10,-1.1947109356085834e-10,-8.689880045409683e-11,-6.072222507126299e-11,-4.2934861125929856e-11,-3.248518866705881e-11,-2.56609579168058e-11,-1.9002265061444854e-11,-1.358907759236208e-11,-9.558516806601824e-12,-5.6307033354611e-10,-4.3559410005593463e-10,-3.3429595522304206e-10,-2.5545556412411024e-10,-1.9529157259991823e-10,-1.5019303455643825e-10,-1.165552973275605e-10,-9.150231547064e-11,-6.862405068146558e-11,-5.158272364299814e-11,-4.0900312388333026e-11,-3.355178328912991e-11,-2.6015902666085476e-11,-1.953514227144142e-11,-1.4435369705920274e-11,-1.011059171226298e-11,-6.8672364881760595e-12,-4.5862924626377155e-12,-2.9858428305641125e-12,-1.8778045580933194e-12,-1.1551060165871806e-12,-7.071111892056781e-13,-4.2190316760682964e-13
1,-3.2843449201564888e-09,-2.4058181169238065e-09,-1.663485757232255e-09,-1.1217059354792342e-09,-7.596939141801469e-10,-5.133212742520021e-10,-3.4953001772054973e-10,-2.4193655518220225e-10,-1.7070868309766578e-10,-1.2307498662545666e-10,-9.002140678482458e-11,-6.322753542510354e-11,-4.4849079288497414e-11,-3.397339439823149e-11,-2.683862002686779e-11,-1.985622948003842e-11,-1.4170757868971608e-11,-9.938567254473996e-12,-5.778911213403752e-10,-4.453594191634517e-10,-3.4131985504749924e-10,-2.611279780105002e-10,-2.0027639905347245e-10,-1.5470089837881753e-10,-1.205907942187298e-10,-9.501886836877329e-11,-7.148728713007143e-11,-5.3818196487614545e-11,-4.267658890020829e-11,-3.4986826169090383e-11,-2.7086039581738788e-11,-2.0288131754534053e-11,-1.4945359116464226e-11,-1.0426381869526615e-11,-7.051188928412565e-12,-4.689200958909682e-12,-3.0407895992240143e-12,-1.9057960084337073e-12,-1.1691045981890405e-12,-7.142972536505075e-13,-4.256672169034749e-13
2,-3.3988849006304473e-09,-2.4942889933929252e-09,-1.7296626103166456e-09,-1.1701450423580032e-09,-7.946551051873151e-10,-5.377929464941517e-10,-3.6617195458595853e-10,-2.530217108299479e-10,-1.780080602000594e-10,-1.2788942077491144e-10,-9.321273684507882e-11,-6.523263107881544e-11,-4.61381084953889e-11,-3.4886635815770585e-11,-2.7527266983435004e-11,-2.034258251188158e-11,-1.4505209097147084e-11,-1.0166891097418819e-11,-6.041037858931454e-10,-4.658029290126974e-10,-3.5682734882817896e-10,-2.7258008890439146e-10,-2.085554270029978e-10,-1.606223032585264e-10,-1.248258121159758e-10,-9.808742504324331e-11,-7.358537583183096e-11,-5.527305003338431e-11,-4.3769509693908363e-11,-3.585031534996732e-11,-2.7730763919277152e-11,-2.0757358804912165e-11,-1.5283833456026465e-11,-1.0658985362232005e-11,-7.206692484534147e-12,-4.791558196466915e-12,-3.1063360190306337e-12,-1.945875652261855e-12,-1.192794465325287e-12,-7.280339851234336e-13,-4.333047049645861e-13
3,-3.531202572423826e-09,-2.5974155649224575e-09,-1.8075738517470044e-09,-1.2275937252904418e-09,-8.362442958072795e-10,-5.668646516804025e-10,-3.858341545970198e-10,-2.6600717912770195e-10,-1.864732770250662e-10,-1.3341942350634894e-10,-9.68500944362767e-11,-6.750541071570392e-11,-4.759773501994757e-11,-3.592229025082625e-11,-2.831021432934351e-11,-2.0897725219541142e-11,-1.4888468805866728e-11,-1.0429761129413238e-11,-6.351498329952249e-10,-4.899703465642098e-10,-3.7508079948392316e-10,-2.859727029142774e-10,-2.1816099377805477e-10,-1.6743724987860387e-10,-1.296662809000707e-10,-1.0157744298813062e-10,-7.59658503888138e-11,-5.69243677632604e-11,-4.501258016296027e-11,-3.6834690770721784e-11,-2.8468060060185872e-11,-2.1295366401996327e-11,-1.5673252857805917e-11,-1.0926528275587957e-11,-7.385213655665316e-12,-4.908536836418837e-12,-3.180562455566724e-12,-1.990969706285083e-12,-1.2192560173824717e-12,-7.432978336203151e-13,-4.417455843504213e-13
4,-3.680158610835803e-09,-2.7152001452906212e-09,-1.8978477585667685e-09,-1.2947682152802778e-09,-8.849747750872018e-10,-6.007671060901046e-10,-4.085171802246881e-10,-2.8076345140559563e-10,-1.9593309896340168e-10,-1.3950587984724276e-10,-1.008084073886084e-10,-6.996418606578676e-11,-4.9178749084030364e-11,-3.705061423755287e-11,-2.916962047291028e-11,-2.151449280056973e-11,-1.5321315477635397e-11,-1.0731958415754544e-11,-6.712407267610102e-10,-5.179387435656484e-10,-3.9603312611538615e-10,-3.011740868853797e-10,-2.2892402975943198e-10,-1.7498061869238285e-10,-1.3497399460706893e-10,-1.0538679746135958e-10,-7.856419823209476e-11,-5.873794688515203e-11,-4.6389550122951144e-11,-3.793511361429848e-11,-2.9303061595321894e-11,-2.1914508727384325e-11,-1.612842626039549e-11,-1.1244770781125726e-11,-7.600730058466649e-12,-5.05099112673912e-12,-3.2712052060677783e-12,-2.0458443857540558e-12,-1.2511662732205815e-12,-7.614853653785803e-13,-4.51657533196821e-13
5,-3.8683680599425564e-09,-2.864115292028665e-09,-2.011937431828227e-09,-1.379430931782042e-09,-9.460522717592813e-10,-6.428858409059817e-10,-4.3635347604190695e-10,-2.9861281831685265e-10,-2.0721066534033557e-10,-1.4667898045192075e-10,-1.0544680166856735e-10,-7.285137076402499e-11,-5.105316080785862e-11,-3.8403326106839635e-11,-3.021041869883957e-11,-2.227121771338124e-11,-1.5859259345837864e-11,-1.1111718278514918e-11,-7.160976886015066e-10,-5.524573680074463e-10,-4.216592464693616e-10,-3.1956796772874636e-10,-2.4180480325065945e-10,-1.8392536719661375e-10,-1.4123642397949362e-10,-1.0988285429388656e-10,-8.165129868663973e-11,-6.091723330840283e-11,-4.806212400881543e-11,-3.928392279833791e-11,-3.033755365656433e-11,-2.2689306723900642e-11,-1.6702241026484503e-11,-1.1648018485513646e-11,-7.874090346343159e-12,-5.2312688193531586e-12,-3.3855951337333568e-12,-2.114712988564157e-12,-1.2910748571167308e-12,-7.841454657981382e-13,-4.639853319666473e-13
6,-4.097231632982697e-09,-3.041352149573569e-09,-2.1456243237131216e-09,-1.4778587921828445e-09,-1.0168608472414372e-09,-6.916567913612088e-10,-4.685231125148443e-10,-3.191548812097336e-10,-2.201162190532757e-10,-1.5484699361003836e-10,-1.1072089599826653e-10,-7.615245834477144e-11,-5.322354850230627e-11,-3.999178035210645e-11,-3.144963967308229e-11,-2.318832348852779e-11,-1.6523303048604382e-11,-1.1587658387051188e-11,-7.68099125936485e-10,-5.924134165285907e-10,-4.512733905349506e-10,-3.407723237628375e-10,-2.566070140600687e-10,-1.9417771663351976e-10,-1.484126606969753e-10,-1.1505607629269747e-10,-8.523943972665097e-11,-6.348853894573921e-11,-5.006310235813196e-11,-4.091763968862646e-11,-3.160915548089206e-11,-2.3654898394377176e-11,-1.7424784790326594e-11,-1.215909696768577e-11,-8.220800177495414e-12,-5.459123387655156e-12,-3.528964651452235e-12,-2.2002410263477718e-12,-1.3400706209495875e-12,-8.117068256078598e-13,-4.788535781939965e-13
7,-4.387038197368462e-09,-3.2554855077485227e-09,-2.2999444928641627e-09,-1.5879523860730688e-09,-1.0948834900306932e-09,-7.452630491943934e-10,-5.041050140190811e-10,-3.4213581436391624e-10,-2.3475420312033236e-10,-1.6424876869835348e-10,-1.1688393832461018e-10,-8.00808692789647e-11,-5.585701838594587e-11,-4.195197156783925e-11,-3.300047049483146e-11,-2.4355893237455056e-11,-1.7381584211523688e-11,-1.2208952550020425e-11,-8.258097897030827e-10,-6.367289668007531e-10,-4.842880710519146e-10,-3.64639419525671e-10,-2.7347875925729643e-10,-2.060315810721234e-10,-1.5683475231180255e-10,-1.2121641951193405e-10,-8.95903468947275e-11,-6.666378392648253e-11,-5.256997562171777e-11,-4.298706530005474e-11,-3.323958945481513e-11,-2.4904786283513347e-11,-1.8364375108629608e-11,-1.282267596747782e-11,-8.667699863298041e-12,-5.749305776556573e-12,-3.708968087188383e-12,-2.306077184044974e-12,-1.3999204312527344e-12,-8.449700485310645e-13,-4.96602566604656e-13
8,-4.733787055252604e-09,-3.5016106488467527e-09,-2.4675861353156757e-09,-1.7008495682076379e-09,-1.1713511059419202e-09,-7.962847518187372e-10,-5.3759015521035e-10,-3.638765311678336e-10,-2.4885995632608706e-10,-1.7355858019396863e-10,-1.231841189260586e-10,-8.424732010057214e-11,-5.874538416341067e-11,-4.4152776715245224e-11,-3.4770635992606484e-11,-2.5709579348702424e-11,-1.838719125331105e-11,-1.2939889648210316e-11,-8.821474808432684e-10,-6.792700620200333e-10,-5.157849495422489e-10,-3.875271745662241e-10,-2.899166338050577e-10,-2.1785892552951034e-10,-1.6547881027112807e-10,-1.277158993149001e-10,-9.432864044518364e-11,-7.021563373200672e-11,-5.542328484958236e-11,-4.5369670749153736e-11,-3.5135108841112254e-11,-2.6365686059314756e-11,-1.9463645202580055e-11,-1.3595803278325082e-11,-9.18447512751932e-12,-6.0820315337122925e-12,-3.9136259978634865e-12,-2.425432603817354e-12,-1.4669175519292475e-12,-8.818986306193639e-13,-5.161665334414228e-13
9,-5.154798705060721e-09,-3.795063491056439e-09,-2.6591880378657207e-09,-1.8221207310345178e-09,-1.2480664116274664e-09,-8.443071634569874e-10,-5.677315271902779e-10,-3.831624462614746e-10,-2.6159091256147483e-10,-1.8232346627366006e-10,-1.2944955079610622e-10,-8.865629542275793e-11,-6.194951477418122e-11,-4.6654857906867084e-11,-3.6806051493041006e-11,-2.727212772567481e-11,-1.9542039474142304e-11,-1.3770046545800975e-11,-9.37341620495648e-10,-7.193448180300579e-10,-5.446492117812021e-10,-4.0831675940260203e-10,-3.050489938598358e-10,-2.2911162790815e-10,-1.7407176304771596e-10,-1.34468125137599e-10,-9.947758774775434e-11,-7.419768172031883e-11,-5.866712984997198e-11,-4.809102846001483e-11,-3.7298656854992347e-11,-2.8021194345001716e-11,-2.069599326038953e-11,-1.4451433283641971e-11,-9.749061392662698e-12,-6.441414322993737e-12,-4.13276973492672e-12,-2.552025052855877e-12,-1.5372757547787543e-12,-9.204082680945419e-13,-5.36369691719566e-13
