,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-5.238238759977501e-09,-3.929400829518735e-09,-2.7485500130555223e-09,-1.8867140123330475e-09,-1.2757175727831509e-09,-8.825512919569307e-10,-5.925662665210619e-10,-4.127711463890931e-10,-2.8150015730458627e-10,-2.0077282415284284e-10,-1.4407959326500028e-10,-1.0164017149580968e-10,-7.00791270732093e-11,-5.311320040258658e-11,-4.07819961152391e-11,-3.064522743088694e-11,-2.124268331523733e-11,-1.509706801133692e-11,-9.635151940048322e-10,-7.382532386081949e-10,-5.791269998209871e-10,-4.2989082792341206e-10,-3.283917532271007e-10,-2.5379147142867864e-10,-1.944571751947299e-10,-1.5067888544475983e-10,-1.1431071269486589e-10,-8.320998167847922e-11,-6.634241361181286e-11,-5.456732501380953e-11,-4.193281094590511e-11,-3.125074164692414e-11,-2.272473980416683e-11,-1.5777120315884344e-11,-1.0581947914932281e-11,-7.119639628063465e-12,-4.438157674539879e-12,-2.7353289077123913e-12,-1.6708134581175083e-12,-9.942059611734557e-13,-5.648841633698681e-13
1,-5.633364711595328e-09,-4.0815768466539855e-09,-2.8156735952143374e-09,-1.8767107142257745e-09,-1.2669700212446894e-09,-8.537396037631627e-10,-5.867078734861501e-10,-3.971323412943491e-10,-2.803973166536585e-10,-2.026914992102007e-10,-1.4313744454479005e-10,-1.0073199713811099e-10,-7.041061661013302e-11,-5.2400862576891154e-11,-4.151672614791536e-11,-3.048293206075968e-11,-2.1810250074711815e-11,-1.4879614873756676e-11,-9.721954951340274e-10,-7.331751250786244e-10,-5.584504140086631e-10,-4.262732394861756e-10,-3.228442612629986e-10,-2.4750122789355166e-10,-1.961610960185292e-10,-1.5270232151596248e-10,-1.1407857288486286e-10,-8.403805726838396e-11,-6.668462216032541e-11,-5.5045719388914536e-11,-4.258521038967866e-11,-3.1402844518678255e-11,-2.3081205960547505e-11,-1.6192232124971064e-11,-1.0744675850678927e-11,-7.228660802896462e-12,-4.626478019605745e-12,-2.8839340631640093e-12,-1.7272000349459288e-12,-1.0407654085235037e-12,-6.003275095515844e-13
2,-5.526275884578752e-09,-4.133183256523792e-09,-2.8353731590519885e-09,-1.9259878493553277e-09,-1.2766916805356903e-09,-8.787832983848982e-10,-5.860505642613983e-10,-4.0130830103562326e-10,-2.788937478234545e-10,-2.0112106443538537e-10,-1.4495024822437237e-10,-1.002378938978757e-10,-6.968339375491439e-11,-5.241638408930634e-11,-4.180324315451603e-11,-3.036898751618018e-11,-2.1758339481418362e-11,-1.5308137018964535e-11,-9.665100842195887e-10,-7.427280853022092e-10,-5.636648838152172e-10,-4.235177462410597e-10,-3.303748871078228e-10,-2.4832076509493296e-10,-1.9255213092576855e-10,-1.5222374094527288e-10,-1.1341273910696094e-10,-8.501935281026974e-11,-6.742521439591083e-11,-5.533601164132474e-11,-4.2605601297768434e-11,-3.1394640152100133e-11,-2.3403525515431123e-11,-1.6227336256211044e-11,-1.0898830383057768e-11,-7.28239251275536e-12,-4.647104423951181e-12,-2.8599165073966335e-12,-1.7671476351852425e-12,-1.0575436162886104e-12,-6.091884780237033e-13
3,-5.613769791211951e-09,-4.071890877846531e-09,-2.823140979564414e-09,-1.903445104895684e-09,-1.2786476699041404e-09,-8.715852324061831e-10,-5.935341940302142e-10,-3.9588364111766335e-10,-2.7775918998844454e-10,-1.990877654180865e-10,-1.4351086028456402e-10,-1.0111466605809449e-10,-7.002734772765214e-11,-5.3726644322716515e-11,-4.159225304176316e-11,-3.055413137154964e-11,-2.1940468371008928e-11,-1.5275585723584485e-11,-9.739352193082583e-10,-7.26318063809395e-10,-5.671335771580601e-10,-4.2210816324429297e-10,-3.283986602574737e-10,-2.51317854569954e-10,-1.9449439493423826e-10,-1.5089138798248816e-10,-1.1441650778746988e-10,-8.553294814908474e-11,-6.641542413237801e-11,-5.452373681957258e-11,-4.284849390587937e-11,-3.1892919434286505e-11,-2.3397048824081768e-11,-1.6009560940658803e-11,-1.0825830719762717e-11,-7.127809020370736e-12,-4.698900850711037e-12,-2.8834149878128425e-12,-1.746048738937847e-12,-1.050173724645014e-12,-5.943512881410575e-13
4,-5.6113620580335e-09,-4.111550001652729e-09,-2.842765929677645e-09,-1.9012375997528562e-09,-1.2892034407959674e-09,-8.587315713598073e-10,-5.797330240913423e-10,-3.979403006523934e-10,-2.79938110805134e-10,-1.9984891160128298e-10,-1.4346010286739863e-10,-9.988538360757332e-11,-6.977189988074197e-11,-5.346738101455062e-11,-4.1524161295789635e-11,-3.033633178819215e-11,-2.1620433538681573e-11,-1.5340812641150635e-11,-9.653395491342537e-10,-7.360053414685829e-10,-5.644773608248199e-10,-4.254505025028969e-10,-3.2810754966286337e-10,-2.5038475429947155e-10,-1.9374630606859408e-10,-1.5161265516412615e-10,-1.1297605951585673e-10,-8.507181119355648e-11,-6.704766997754373e-11,-5.4104018835540034e-11,-4.1780615166635033e-11,-3.1784776457731394e-11,-2.292309526267036e-11,-1.6247618856241943e-11,-1.0875115819559626e-11,-7.24683477629838e-12,-4.619857967804408e-12,-2.8503111918215e-12,-1.7261832642414645e-12,-1.0582250837507671e-12,-5.911590953032914e-13
5,-5.613185045383558e-09,-4.043946394956281e-09,-2.8013746971802576e-09,-1.9268289530652548e-09,-1.2929269856600187e-09,-8.623194399754939e-10,-5.900070846759627e-10,-4.0293890603578635e-10,-2.8413454632331073e-10,-1.986305793745096e-10,-1.449000460656579e-10,-1.0057043542679376e-10,-6.990164302982884e-11,-5.371294350114046e-11,-4.149325536489698e-11,-3.096934731816826e-11,-2.1750848998522883e-11,-1.514488566057561e-11,-9.47916902272924e-10,-7.359933637294588e-10,-5.662704464891123e-10,-4.3538541991327916e-10,-3.2459971048742e-10,-2.493800501192542e-10,-1.9272119752521365e-10,-1.5364704221820088e-10,-1.1391936984799843e-10,-8.489959996919952e-11,-6.668332451521069e-11,-5.538352143359464e-11,-4.190948505059557e-11,-3.126413557088133e-11,-2.3104145843048817e-11,-1.631738737122565e-11,-1.0901859512122986e-11,-7.323923946750481e-12,-4.64254351494497e-12,-2.919702106420764e-12,-1.7313653931680993e-12,-1.0474677965734913e-12,-6.043765697861956e-13
6,-5.5995036606946465e-09,-4.129299050360805e-09,-2.7821349666496218e-09,-1.916915011360864e-09,-1.2696984986333396e-09,-8.620649751234157e-10,-5.755514936870517e-10,-4.0290732111296377e-10,-2.759839723881081e-10,-2.0090956638255672e-10,-1.424122257482583e-10,-9.983187182058352e-11,-7.146835356295945e-11,-5.355677764032023e-11,-4.1715068445801536e-11,-3.03986997727098e-11,-2.168318121247931e-11,-1.523284640495333e-11,-9.44883032931233e-10,-7.364687611802953e-10,-5.590622668632986e-10,-4.2681158116787636e-10,-3.201018450831782e-10,-2.5127793058348583e-10,-1.9378796866139963e-10,-1.4924968854220792e-10,-1.1454941106452002e-10,-8.567744456549482e-11,-6.64265942835253e-11,-5.4615450066756375e-11,-4.17849648253136e-11,-3.149856283696208e-11,-2.2986782373921273e-11,-1.6065589656832235e-11,-1.10318164533936e-11,-7.257936533195195e-12,-4.655572677334999e-12,-2.919912777842091e-12,-1.7764565962924843e-12,-1.0638963839349764e-12,-5.971552776046125e-13
7,-5.633082314111546e-09,-4.0932977092575775e-09,-2.797026208307699e-09,-1.907279188026246e-09,-1.2928551844657437e-09,-8.67958578417759e-10,-5.833190385031987e-10,-3.9518175342817195e-10,-2.7775826940814434e-10,-1.9887795060262786e-10,-1.4285154032590574e-10,-1.0006997450703966e-10,-6.992567434296266e-11,-5.2245139217864625e-11,-4.107157373227284e-11,-3.086622919491126e-11,-2.164628848180619e-11,-1.5263224488825977e-11,-9.503010823306188e-10,-7.290539526775353e-10,-5.593896000268223e-10,-4.3347165844834406e-10,-3.27872540264853e-10,-2.4707641347801145e-10,-1.9606198011429845e-10,-1.5063508150007864e-10,-1.1227106950906705e-10,-8.377314264280631e-11,-6.742448178933761e-11,-5.463888911685392e-11,-4.281788134413251e-11,-3.1262111175147385e-11,-2.2905239324435894e-11,-1.6264936893747152e-11,-1.0812583142683928e-11,-7.140273032686801e-12,-4.648090111528675e-12,-2.8453273135282974e-12,-1.7375947013734494e-12,-1.0416947509503329e-12,-6.106783185554023e-13
8,-5.565338952511729e-09,-4.0445812053646e-09,-2.82177681636057e-09,-1.8910984180220823e-09,-1.2661745909742467e-09,-8.597739993406096e-10,-5.791990062770314e-10,-3.964471235722751e-10,-2.7512645874051966e-10,-1.9733280010745908e-10,-1.4302274845782984e-10,-1.0149733761112355e-10,-6.984042051724755e-11,-5.3478418562910595e-11,-4.151645437916932e-11,-3.077073893025495e-11,-2.199754469755249e-11,-1.5309058686648726e-11,-9.619663561546198e-10,-7.347581699242376e-10,-5.656883997413261e-10,-4.31098883828834e-10,-3.257480863866546e-10,-2.5069170850842426e-10,-1.9697828339388118e-10,-1.52349275269567e-10,-1.1392675300657004e-10,-8.57631087524931e-11,-6.77805227840133e-11,-5.4772407874834683e-11,-4.1830352981939845e-11,-3.152950207283189e-11,-2.315990974278095e-11,-1.6167866519567656e-11,-1.0926123384525172e-11,-7.212536375879977e-12,-4.71889404927534e-12,-2.9078395578117055e-12,-1.7281658719910446e-12,-1.0452122253344445e-12,-6.050246233755594e-13
9,-5.6932061446647815e-09,-4.0997594131749686e-09,-2.850122160593246e-09,-1.8943313327493055e-09,-1.2739063948159202e-09,-8.638749792694566e-10,-5.845564320267559e-10,-3.97477606668888e-10,-2.7696394224058166e-10,-2.0062771459063833e-10,-1.4386955263000334e-10,-9.94483460488324e-11,-7.076839590023133e-11,-5.259242262347922e-11,-4.110947586088809e-11,-3.069880546743353e-11,-2.1833616509358396e-11,-1.5199842867118375e-11,-9.570560844533958e-10,-7.470644335404219e-10,-5.584519985592768e-10,-4.275793281504064e-10,-3.247531467652102e-10,-2.48066268489076e-10,-1.9107981008437367e-10,-1.4972473511588831e-10,-1.1153467490926818e-10,-8.471344839482544e-11,-6.630269957253393e-11,-5.474530400336885e-11,-4.17787515658005e-11,-3.118106112066523e-11,-2.2923391833149185e-11,-1.60932012586969e-11,-1.081621695446414e-11,-7.170697723774292e-12,-4.619316140423553e-12,-2.8388462358149394e-12,-1.7105816503180605e-12,-1.0302203071157265e-12,-6.055682454765176e-13
10,-5.6556284691260546e-09,-4.099924928386284e-09,-2.8492034486141713e-09,-1.8954974753526713e-09,-1.2845687138485274e-09,-8.734627805759355e-10,-5.79011397480069e-10,-3.9579096512259307e-10,-2.75585804587877e-10,-1.9926393662371162e-10,-1.4438658463290323e-10,-9.924480193479908e-11,-7.046905606679817e-11,-5.274780036724514e-11,-4.135535690045446e-11,-3.062614009498831e-11,-2.1677460677233444e-11,-1.521180844494835e-11,-9.476603875445823e-10,-7.385675224395996e-10,-5.567113157528148e-10,-4.3228195505838877e-10,-3.284970218961576e-10,-2.5033549054571354e-10,-1.9582514239487088e-10,-1.5141328239926136e-10,-1.1257453264744993e-10,-8.574671484611881e-11,-6.763258710594897e-11,-5.415696139000241e-11,-4.240959167325875e-11,-3.1634493964785275e-11,-2.2963946175117878e-11,-1.5988760123212652e-11,-1.0752004469541612e-11,-7.21010412314211e-12,-4.600528564852893e-12,-2.8632040900046994e-12,-1.7382599852524304e-12,-1.0302824984625953e-12,-6.074055378471269e-13
11,-5.653613794882104e-09,-4.127646337121569e-09,-2.8561916854083193e-09,-1.896705645833413e-09,-1.2934138356398743e-09,-8.795265231539496e-10,-5.952987090423989e-10,-3.983126973408539e-10,-2.791514372891649e-10,-1.9865955087567325e-10,-1.4605847066184977e-10,-1.0123880270346346e-10,-7.117894530035065e-11,-5.280939850861075e-11,-4.195465772168029e-11,-3.01999717874582e-11,-2.1349633001933497e-11,-1.5197758750028932e-11,-9.661754533436998e-10,-7.320648580599963e-10,-5.699028385680937e-10,-4.2834643144336456e-10,-3.253123446217576e-10,-2.4795146914464685e-10,-1.9537389360754042e-10,-1.5359792143246184e-10,-1.11468682198169e-10,-8.487715032244135e-11,-6.60173517948551e-11,-5.4388030428127733e-11,-4.191391233728588e-11,-3.17113951366105e-11,-2.343984272436666e-11,-1.6224407816476997e-11,-1.088285522736637e-11,-7.220247220936745e-12,-4.6585597339285905e-12,-2.8735310954521497e-12,-1.7639671028733602e-12,-1.0338992989087887e-12,-6.086534326672731e-13
12,-5.5836847609022655e-09,-4.1160005156950346e-09,-2.7998862548699803e-09,-1.876923117314033e-09,-1.2980904831024657e-09,-8.497992173848043e-10,-5.782023527715211e-10,-3.937488371903789e-10,-2.770914057694515e-10,-1.9962667424536852e-10,-1.4548858870227408e-10,-1.0166961280150675e-10,-7.107579238808945e-11,-5.302690998740566e-11,-4.1992776986125275e-11,-3.0728938146214294e-11,-2.1940375519678592e-11,-1.512346749150837e-11,-9.443503860262974e-10,-7.341133590153731e-10,-5.653634198589742e-10,-4.29959986129469e-10,-3.2242720067742766e-10,-2.490008472642492e-10,-1.9291453658994712e-10,-1.4966288875148936e-10,-1.1143225671057564e-10,-8.406144570191081e-11,-6.695741621722604e-11,-5.5494201273531816e-11,-4.242712500610929e-11,-3.170943193048881e-11,-2.3514872604984984e-11,-1.6292882892284224e-11,-1.0773496068237663e-11,-7.2209795485695175e-12,-4.612136136945144e-12,-2.8641897694360585e-12,-1.7662104677427974e-12,-1.0445029136249942e-12,-6.118251241057675e-13
13,-5.6172514310305125e-09,-4.064836339996436e-09,-2.842804013231906e-09,-1.8878361140261505e-09,-1.2854751919882968e-09,-8.592620508691741e-10,-5.785237078483222e-10,-4.072916100351173e-10,-2.769958521479863e-10,-1.973712501895821e-10,-1.473304601700436e-10,-1.0039449136773988e-10,-7.166724048596257e-11,-5.2604737362028053e-11,-4.150429752980623e-11,-3.046974882031133e-11,-2.2161350366937483e-11,-1.515954238040871e-11,-9.604490980964548e-10,-7.485125071015903e-10,-5.675458870772884e-10,-4.3218792505226126e-10,-3.296546732817545e-10,-2.4843877330220584e-10,-1.9520907293569825e-10,-1.5092102447961173e-10,-1.1513785340734923e-10,-8.58083479613183e-11,-6.709635549599217e-11,-5.444124717858969e-11,-4.2032376489411643e-11,-3.206496474101367e-11,-2.3434915472355557e-11,-1.609757749759392e-11,-1.100927056929778e-11,-7.2323147848123055e-12,-4.714260599109063e-12,-2.922086847726883e-12,-1.7212363264196994e-12,-1.039290595712803e-12,-5.971357173057098e-13
14,-5.5946746860778384e-09,-4.123870023336591e-09,-2.867943115844326e-09,-1.9045544855795894e-09,-1.2816094280257912e-09,-8.715109992731445e-10,-5.9451429820518e-10,-4.0407796030659473e-10,-2.811293467991229e-10,-1.9825664922062222e-10,-1.4331404494001423e-10,-1.0100012579809192e-10,-6.960110825068333e-11,-5.370330706313548e-11,-4.131652123805751e-11,-3.110208030510469e-11,-2.1494247949221926e-11,-1.5011550461985634e-11,-9.50984693001408e-10,-7.369998707026056e-10,-5.58282220916395e-10,-4.25793448748022e-10,-3.262887720943176e-10,-2.532055359268874e-10,-1.9578711964025902e-10,-1.5034449481152758e-10,-1.1341805681140657e-10,-8.410685121574454e-11,-6.687106114271193e-11,-5.5676979544713144e-11,-4.2805615396698064e-11,-3.139867361620724e-11,-2.3440876581746635e-11,-1.6118191131006996e-11,-1.0834663586208537e-11,-7.213993420583645e-12,-4.599698633384612e-12,-2.8684703106468666e-12,-1.7255662739342676e-12,-1.0547772042546157e-12,-6.010487738319647e-13
15,-5.5784485643899775e-09,-4.1332388444854786e-09,-2.8339866051126907e-09,-1.9256312899053894e-09,-1.2939217778464161e-09,-8.542551978078821e-10,-5.771187077236739e-10,-4.000954400648474e-10,-2.820608121477811e-10,-2.0216435278577824e-10,-1.452120876071276e-10,-1.0173245863073414e-10,-7.07455305948074e-11,-5.261623519206697e-11,-4.125059148046214e-11,-3.0595741479206395e-11,-2.180778966614567e-11,-1.5228045199131445e-11,-9.574526210742708e-10,-7.255840263035024e-10,-5.685180212880986e-10,-4.2699715545510207e-10,-3.2150371309275067e-10,-2.524679864947706e-10,-1.942902366800541e-10,-1.5392424300211153e-10,-1.1457782662024183e-10,-8.522133170675913e-11,-6.686143353455915e-11,-5.535482960523636e-11,-4.199338229396947e-11,-3.12093851375741e-11,-2.3031871775966792e-11,-1.6281393873471818e-11,-1.081734969534472e-11,-7.242562545606891e-12,-4.648508653306049e-12,-2.9055141989028663e-12,-1.7532671661820067e-12,-1.0315764406318945e-12,-5.919575038609758e-13
16,-5.671234036149541e-09,-4.0724511348316135e-09,-2.826473748202056e-09,-1.878307182813599e-09,-1.2779270691548244e-09,-8.662411042401772e-10,-5.789934872493144e-10,-3.946641131809291e-10,-2.787385320084374e-10,-1.9917089557208752e-10,-1.452970701762575e-10,-1.0018659345166998e-10,-7.012127814529355e-11,-5.394899222561877e-11,-4.191383082944031e-11,-3.0429516795295046e-11,-2.1440517049858425e-11,-1.5287486593398022e-11,-9.550329956941439e-10,-7.369989383852936e-10,-5.684796549835299e-10,-4.2735456713414216e-10,-3.3034655530872113e-10,-2.4853844018803985e-10,-1.9373620381161492e-10,-1.5063431974405606e-10,-1.1318940403179314e-10,-8.539881208092375e-11,-6.771581098240543e-11,-5.4927460531625314e-11,-4.290777325431989e-11,-3.1849458940386776e-11,-2.308342695931649e-11,-1.627643023657179e-11,-1.075790367632764e-11,-7.233362039598012e-12,-4.6717744979455105e-12,-2.8725639675055456e-12,-1.759749949899973e-12,-1.036268247116571e-12,-5.925009463407603e-13
17,-5.596482974384772e-09,-4.1433926415123e-09,-2.7853742240335623e-09,-1.8934788697609528e-09,-1.280081753582458e-09,-8.646982715165394e-10,-5.794729385678902e-10,-3.9708140238371193e-10,-2.775277334419722e-10,-1.9788579106260424e-10,-1.4527029801993555e-10,-9.996196303966181e-11,-7.079924323091883e-11,-5.2974991491296885e-11,-4.1417242313386366e-11,-3.092950172613378e-11,-2.1817095989109895e-11,-1.5044157392358812e-11,-9.496823573059697e-10,-7.363869115878937e-10,-5.648852602890058e-10,-4.321263683185254e-10,-3.306691080903411e-10,-2.48595029319049e-10,-1.91179705886575e-10,-1.5110790162893918e-10,-1.1254070833768152e-10,-8.487897369542598e-11,-6.729902463569476e-11,-5.543245453593529e-11,-4.2329201640167014e-11,-3.1455722939335524e-11,-2.2899739061386645e-11,-1.591609438329829e-11,-1.0696529454754918e-11,-7.159251200401619e-12,-4.644540127634464e-12,-2.906844086626265e-12,-1.7415687150378017e-12,-1.043363649631578e-12,-5.936772234204531e-13
18,-5.631931639323846e-09,-4.117603409712821e-09,-2.8389374474579773e-09,-1.8753488696359457e-09,-1.2816818989456242e-09,-8.769028502042347e-10,-5.817713825479165e-10,-3.9986171059456664e-10,-2.7778285632470105e-10,-1.9744687887174352e-10,-1.4728740863204916e-10,-9.949311642839698e-11,-7.10954523772491e-11,-5.284138084907162e-11,-4.111861314690307e-11,-3.025205263985214e-11,-2.1528121338789213e-11,-1.5306762520042152e-11,-9.50826386906388e-10,-7.289071636931349e-10,-5.718497003325e-10,-4.2548900628933656e-10,-3.232893848342031e-10,-2.535690194781377e-10,-1.96346458431006e-10,-1.5245953030672592e-10,-1.1432477589745148e-10,-8.524360838557565e-11,-6.659487960607512e-11,-5.4256592492923615e-11,-4.248498558502207e-11,-3.125020838283283e-11,-2.329270560890613e-11,-1.6146518480150664e-11,-1.103027591208098e-11,-7.219639059666625e-12,-4.64119939589512e-12,-2.8977498614006917e-12,-1.7650525869474883e-12,-1.0491142392900782e-12,-5.972396896667911e-13
19,-5.556086958889838e-09,-4.095894937791452e-09,-2.833393198232488e-09,-1.8920013177235437e-09,-1.2872417698327644e-09,-8.67025821358558e-10,-5.785173998842324e-10,-3.948316965479488e-10,-2.765902556245101e-10,-1.979483732602217e-10,-1.444448568506535e-10,-1.0154950514678138e-10,-6.98473693014301e-11,-5.3583728028698887e-11,-4.139539799571624e-11,-3.105947145066049e-11,-2.1557254038583364e-11,-1.4926234368121187e-11,-9.551264017760063e-10,-7.298991056446156e-10,-5.690646014435244e-10,-4.3148801879732814e-10,-3.252217463938318e-10,-2.493800473726718e-10,-1.9693046517409623e-10,-1.5058094395133357e-10,-1.1431967120831933e-10,-8.587477527657371e-11,-6.660937999491729e-11,-5.4778782598365574e-11,-4.225795403503484e-11,-3.1531537071276313e-11,-2.329584715395508e-11,-1.6287135404107462e-11,-1.0853135080246764e-11,-7.1550152067648e-12,-4.686864371618995e-12,-2.8609923619119615e-12,-1.7270849388944185e-12,-1.0330604565401085e-12,-6.068300088564507e-13
20,-5.546426561599018e-09,-4.067526599795377e-09,-2.78705675414194e-09,-1.8896055771384036e-09,-1.2775089390130136e-09,-8.770376219568281e-10,-5.913886822195923e-10,-4.045984276480843e-10,-2.7666201469544785e-10,-1.9695411692274246e-10,-1.4403838844750068e-10,-1.013419152850774e-10,-7.007688071266048e-11,-5.3186609578277475e-11,-4.127748271313317e-11,-3.101757408364504e-11,-2.1821169334094593e-11,-1.5081326054137922e-11,-9.605268334319529e-10,-7.266215812335763e-10,-5.597357207393735e-10,-4.336025223760775e-10,-3.251673527252579e-10,-2.528973271481461e-10,-1.9346778709230462e-10,-1.5331885181519845e-10,-1.1223691549831228e-10,-8.389116981655772e-11,-6.769175385494218e-11,-5.548207036833849e-11,-4.2559671571376414e-11,-3.1877968208443e-11,-2.3319783471498252e-11,-1.6359699253912634e-11,-1.0938290784993561e-11,-7.343771578629088e-12,-4.661391667679426e-12,-2.8820677389320645e-12,-1.753527300345308e-12,-1.0531746598948364e-12,-6.018342672074078e-13
