,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-5.219670380247698e-09,-3.8452977312235e-09,-2.6930164783271214e-09,-1.8455902689095917e-09,-1.2678774094734818e-09,-8.642662346319169e-10,-5.879908087068398e-10,-4.027241341190267e-10,-2.803955901485472e-10,-1.9940625630785473e-10,-1.4403094407750193e-10,-9.919302800163951e-11,-6.931713834792953e-11,-5.2033731399791785e-11,-4.083181505011834e-11,-2.9967871946978964e-11,-2.1201671979042243e-11,-1.4737001591616318e-11,-9.517040399264115e-10,-7.356512134688931e-10,-5.63665858390394e-10,-4.2938701559948854e-10,-3.2679888518709103e-10,-2.5004458747925174e-10,-1.9306590502062817e-10,-1.4980337510076492e-10,-1.1124897432869995e-10,-8.305607544934225e-11,-6.549732185980244e-11,-5.3476206656528147e-11,-4.119642805529867e-11,-3.0697552954251947e-11,-2.2483458655839343e-11,-1.5581428847662758e-11,-1.0492757916646428e-11,-6.964614826994481e-12,-4.4880229920864e-12,-2.7846171544618226e-12,-1.6974858654255085e-12,-1.0334488260277918e-12,-6.138228135934579e-13
1,-5.527204175846726e-09,-4.026666033320654e-09,-2.777372102639559e-09,-1.8718862001063443e-09,-1.2667169813929092e-09,-8.532412287936287e-10,-5.764274010892988e-10,-3.9422782837434954e-10,-2.753394470955395e-10,-1.9691133961166054e-10,-1.4310378180274405e-10,-9.916835091141012e-11,-6.959183161830191e-11,-5.2351254476266265e-11,-4.1129911759517935e-11,-3.021989101443903e-11,-2.1404511129372616e-11,-1.490042962572857e-11,-9.459092255992494e-10,-7.260109548078326e-10,-5.540026531511593e-10,-4.217271501937187e-10,-3.217370269074299e-10,-2.4726798825057215e-10,-1.9190910711526022e-10,-1.496354992841654e-10,-1.1164240869951638e-10,-8.361401687631571e-11,-6.605251722401914e-11,-5.399095909332321e-11,-4.164658614063069e-11,-3.108057431216642e-11,-2.2808264485295158e-11,-1.5850728544490267e-11,-1.0711626629664094e-11,-7.137900521605525e-12,-4.619271984084109e-12,-2.878618743456769e-12,-1.7619916528784728e-12,-1.0765854209314198e-12,-6.415243600372004e-13
2,-5.524533931021282e-09,-4.025336243433439e-09,-2.777191837680389e-09,-1.8723783695400976e-09,-1.267400604111871e-09,-8.537927083663312e-10,-5.766877148280532e-10,-3.941895296958063e-10,-2.7509126237422374e-10,-1.9656739353021986e-10,-1.4275672346501802e-10,-9.889035877995447e-11,-6.940958692893961e-11,-5.224210811948055e-11,-4.107174089178803e-11,-3.020907343788899e-11,-2.1424969673055504e-11,-1.4935237549212503e-11,-9.46331066310013e-10,-7.263178540978343e-10,-5.541290521486126e-10,-4.2165945836454967e-10,-3.2151158902081064e-10,-2.4695256563372893e-10,-1.915751002294558e-10,-1.493388427232861e-10,-1.1143247889611823e-10,-8.350151524631528e-11,-6.60101294733744e-11,-5.39959791269115e-11,-4.16938925650191e-11,-3.115308218820745e-11,-2.2888359202902313e-11,-1.5924907536059683e-11,-1.0771776417468557e-11,-7.182396839535245e-12,-4.6495484746731595e-12,-2.8975926921330413e-12,-1.7732543157654253e-12,-1.083097627433102e-12,-6.4513488718034e-13
3,-5.5101300622508165e-09,-4.01586624126178e-09,-2.7718757062583716e-09,-1.8697880189915873e-09,-1.2663044932779623e-09,-8.534695428017442e-10,-5.767404309785909e-10,-3.9443340084454236e-10,-2.754422862939179e-10,-1.9696997670981904e-10,-1.4315978312425637e-10,-9.923720412602797e-11,-6.966565446321994e-11,-5.2419585311353986e-11,-4.118889820137514e-11,-3.026445846412735e-11,-2.143376133959382e-11,-1.4917132501453322e-11,-9.458659813641447e-10,-7.262366734696964e-10,-5.542778062150942e-10,-4.2194514750079355e-10,-3.218800699864367e-10,-2.473642915501653e-10,-1.919916754229053e-10,-1.4972223957864777e-10,-1.1173608916615071e-10,-8.370427926124871e-11,-6.613178732892361e-11,-5.4057334322715285e-11,-4.169516507260078e-11,-3.111114774268126e-11,-2.2824366929574133e-11,-1.585597404559223e-11,-1.071088743672955e-11,-7.134811980629754e-12,-4.6158552165882705e-12,-2.8758290303412083e-12,-1.7600563285832749e-12,-1.0753738894181292e-12,-6.408510343367472e-13
4,-5.527583690340566e-09,-4.025083007115127e-09,-2.774442968463808e-09,-1.8683078891941222e-09,-1.2630221421507352e-09,-8.497694894169375e-10,-5.733856012453143e-10,-3.9171368939163795e-10,-2.7336529749869874e-10,-1.9543432178327337e-10,-1.4205906767459772e-10,-9.853725189191088e-11,-6.925743151841119e-11,-5.218244712830778e-11,-4.1056941558143695e-11,-3.022217535366508e-11,-2.1446562700158373e-11,-1.4953999640091873e-11,-9.424641507863894e-10,-7.227873407788425e-10,-5.511073697320038e-10,-4.192352723108519e-10,-3.1968729071692316e-10,-2.4566026042261746e-10,-1.907113453184317e-10,-1.4880157538506566e-10,-1.1116332312874468e-10,-8.339390726698912e-11,-6.59775858489452e-11,-5.399909880076114e-11,-4.1717317668258526e-11,-3.1179503887595984e-11,-2.2908050737362974e-11,-1.5934173242607167e-11,-1.0772388899880894e-11,-7.178061891437724e-12,-4.6433407663262406e-12,-2.891569880699202e-12,-1.7683786993456176e-12,-1.0795174478943649e-12,-6.427052064642628e-13
5,-5.5228099630395625e-09,-4.025920719059171e-09,-2.7788371323683634e-09,-1.874161047044838e-09,-1.2689679374646196e-09,-8.551141017898406e-10,-5.778421854999325e-10,-3.9524789882069916e-10,-2.7607566213417685e-10,-1.9746244361551523e-10,-1.435348275797288e-10,-9.950472437505009e-11,-6.986154961111924e-11,-5.2577377413816016e-11,-4.132366874569913e-11,-3.037703951481034e-11,-2.1526305637060934e-11,-1.4991223860624584e-11,-9.478799336436253e-10,-7.277440493618701e-10,-5.554481149462122e-10,-4.2289380727205945e-10,-3.226691974728793e-10,-2.480220723276645e-10,-1.9253437025274473e-10,-1.50164854876735e-10,-1.120836802697457e-10,-8.398372593473832e-11,-6.637075851659361e-11,-5.4268806927677983e-11,-4.187682073908147e-11,-3.1263121854315396e-11,-2.294765455836502e-11,-1.594909795321345e-11,-1.0776862621498316e-11,-7.1790828078081675e-12,-4.643584021412153e-12,-2.891875986396933e-12,-1.7688436515713797e-12,-1.0800354897862076e-12,-6.431785287284985e-13
6,-5.543751800676998e-09,-4.036143206571562e-09,-2.7807532178584457e-09,-1.871313968641316e-09,-1.264234554754405e-09,-8.501848092944606e-10,-5.735867683600442e-10,-3.9194916534542776e-10,-2.736794915632469e-10,-1.9578717396882215e-10,-1.4239744115831698e-10,-9.880927702203305e-11,-6.944430698174366e-11,-5.230516226263563e-11,-4.1135466603596206e-11,-3.026053797854074e-11,-2.145927384190752e-11,-1.4955093703148502e-11,-9.4324889830322e-10,-7.232230655842825e-10,-5.514201306552817e-10,-4.1955284084105796e-10,-3.2005121685608864e-10,-2.460556184961352e-10,-1.9110098934765686e-10,-1.4914939216305605e-10,-1.1143120532399311e-10,-8.357455034493172e-11,-6.609572480877868e-11,-5.407509126105798e-11,-4.175567780499042e-11,-3.119457778475852e-11,-2.2913465514519897e-11,-1.5938330757665476e-11,-1.0779148230897138e-11,-7.187257178331997e-12,-4.653399820178274e-12,-2.900874931267332e-12,-1.7759906789416079e-12,-1.085258952128842e-12,-6.467236878661245e-13
7,-5.525178769764955e-09,-4.025991593651479e-09,-2.77753589124279e-09,-1.8722690751799646e-09,-1.2669070661734653e-09,-8.530670033878667e-10,-5.759062285008656e-10,-3.934958403329247e-10,-2.7456290874801543e-10,-1.962160053259455e-10,-1.4255483066882645e-10,-9.88100872009948e-11,-6.939343555495059e-11,-5.2248753008743375e-11,-4.1084979650011463e-11,-3.022158495269724e-11,-2.1432104486200553e-11,-1.4936841606872483e-11,-9.45648888854636e-10,-7.25565482641295e-10,-5.533786339881185e-10,-4.20983138246785e-10,-3.2096305749626737e-10,-2.465537122226584e-10,-1.9131661421738724e-10,-1.4919405972732908e-10,-1.11378585940672e-10,-8.349458689415958e-11,-6.601866640102757e-11,-5.400768324554728e-11,-4.1702678612718914e-11,-3.115566762420843e-11,-2.2885522655370842e-11,-1.5919061220656124e-11,-1.0765944988874974e-11,-7.178229454748835e-12,-4.647392236151851e-12,-2.897037056060341e-12,-1.7735947429314487e-12,-1.0837735207931157e-12,-6.458309377799205e-13
8,-5.516365479670736e-09,-4.018591667815908e-09,-2.7720317682379405e-09,-1.8686337309373353e-09,-1.2647607505885187e-09,-8.52001671505945e-10,-5.755190409939073e-10,-3.9345872211831927e-10,-2.7465552628690483e-10,-1.963218388795992e-10,-1.4262914084158126e-10,-9.883941914659667e-11,-6.939084725189697e-11,-5.223099992690343e-11,-4.1060333759126056e-11,-3.0193811968116056e-11,-2.1405538956690775e-11,-1.491412480642161e-11,-9.444312692364954e-10,-7.248782586722745e-10,-5.530760849998776e-10,-4.2091932509359334e-10,-3.2101363332365384e-10,-2.4663183296363024e-10,-1.9137635606361557e-10,-1.49219812932514e-10,-1.1136679430417787e-10,-8.345817916822902e-11,-6.597164380480241e-11,-5.395695024490526e-11,-4.1652363314244674e-11,-3.111013105891495e-11,-2.2847279663761066e-11,-1.5889815156341975e-11,-1.0745254787678527e-11,-7.1645266992198944e-12,-4.6390933176930715e-12,-2.892584814073961e-12,-1.7715030154677609e-12,-1.08295340683864e-12,-6.456458448913927e-13
9,-5.558730849624848e-09,-4.0486458326611115e-09,-2.7904109930993524e-09,-1.8782965817489325e-09,-1.269027868270469e-09,-8.532418017153218e-10,-5.753681360477349e-10,-3.9287164965459044e-10,-2.7407604040943893e-10,-1.9589039363590962e-10,-1.423531132601833e-10,-9.870129595370211e-11,-6.933474692212917e-11,-5.2211763438624885e-11,-4.1058105793025107e-11,-3.020083391216916e-11,-2.1413365971573458e-11,-1.49182149617233e-11,-9.463468952704625e-10,-7.253955090794814e-10,-5.528206581098405e-10,-4.2035207440556784e-10,-3.2041951940323794e-10,-2.461444066810373e-10,-1.9102820386225942e-10,-1.4899666028710843e-10,-1.1125199793732487e-10,-8.340844641143449e-11,-6.595099649160844e-11,-5.3949105627398754e-11,-4.165025387581469e-11,-3.110639788851217e-11,-2.2838396240926312e-11,-1.587521568295981e-11,-1.0727319493046072e-11,-7.146252082954838e-12,-4.6227367283147905e-12,-2.8794390982173603e-12,-1.761757187153114e-12,-1.0761038105578757e-12,-6.411106207666673e-13
