,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-5.314744919706274e-09,-3.9590117842201655e-09,-2.787412025669006e-09,-2.0177074361250276e-09,-1.4419928539508942e-09,-9.92297165121494e-10,-6.802031904272424e-10,-4.5970420943487606e-10,-3.1396020328613435e-10,-2.2445053433894527e-10,-1.601207105801782e-10,-1.087499603089901e-10,-7.994222315932394e-11,-6.499067405592462e-11,-5.064165522259104e-11,-3.9130961460536286e-11,-2.792086322555229e-11,-1.9354220410127133e-11,-1.1177516128988718e-09,-8.830569008628673e-10,-7.118959835790456e-10,-5.508885023084255e-10,-4.180726935716514e-10,-3.1606954044714726e-10,-2.394119962238033e-10,-1.8279134889157835e-10,-1.495756892385403e-10,-1.1820796694107397e-10,-9.174253744503118e-11,-7.698071315305028e-11,-5.79981682927692e-11,-4.2389828483035995e-11,-3.077855101174531e-11,-2.1156284616920447e-11,-1.4075151464689147e-11,-9.239951263166744e-12,-6.84854727117181e-12,-4.518302330667452e-12,-2.877725612681045e-12,-1.8063820468309218e-12,-1.078559223652441e-12
1,-5.625304713653876e-09,-4.1525333129217235e-09,-2.884588906599991e-09,-2.06284633499936e-09,-1.4564805407727054e-09,-9.899334411420777e-10,-6.724834628712277e-10,-4.5209217457862945e-10,-3.086606892779709e-10,-2.2135440172733313e-10,-1.5867358582816346e-10,-1.0841570703019793e-10,-7.999190264043853e-11,-6.512643734414152e-11,-5.085669811510883e-11,-3.935185167025541e-11,-2.8130098699024117e-11,-1.953378442011498e-11,-1.11557886595242e-09,-8.766185878056008e-10,-7.051608162734683e-10,-5.449026713190988e-10,-4.1376932219220453e-10,-3.1349759049649104e-10,-2.3817677328645685e-10,-1.8243027698913047e-10,-1.4955344076417063e-10,-1.1842652257018045e-10,-9.213962942547965e-11,-7.740768508722386e-11,-5.844817203322255e-11,-4.28059166881057e-11,-3.113874861726815e-11,-2.1451451771845004e-11,-1.4310051239300735e-11,-9.423807904118709e-12,-6.997954240953058e-12,-4.631440878304359e-12,-2.96049204290445e-12,-1.8656250258898096e-12,-1.1190239365772213e-12
2,-5.622111962306931e-09,-4.1506664211245275e-09,-2.883903409210747e-09,-2.062781107272527e-09,-1.4567094792849224e-09,-9.902199267070984e-10,-6.726419090848893e-10,-4.520589980854753e-10,-3.084607599817641e-10,-2.210720789924929e-10,-1.5837264339922058e-10,-1.0815990367713511e-10,-7.980390796782771e-11,-6.498868844492888e-11,-5.07673266051896e-11,-3.930399747920957e-11,-2.812075063981518e-11,-1.954951332133295e-11,-1.11570558868367e-09,-8.766503845939756e-10,-7.050851922152024e-10,-5.447194002474542e-10,-4.1349756251718723e-10,-3.1317788342880443e-10,-2.378579954791772e-10,-1.8215819494558544e-10,-1.493439510529337e-10,-1.182878451645055e-10,-9.206180690365345e-11,-7.736694536191863e-11,-5.845410726990931e-11,-4.284646006458147e-11,-3.1197575722577526e-11,-2.151554716366265e-11,-1.4368356216766278e-11,-9.47043434315086e-12,-7.034505314751394e-12,-4.657417599167712e-12,-2.9778716655783012e-12,-1.876868299271814e-12,-1.1259002345403884e-12
3,-5.607843649879838e-09,-4.140734281269735e-09,-2.877983191554664e-09,-2.059325183715125e-09,-1.4548870467814473e-09,-9.894808843454182e-10,-6.724846828140754e-10,-4.522143185332069e-10,-3.0876406598248624e-10,-2.2142867994662774e-10,-1.5873577128352893e-10,-1.0848013952779827e-10,-8.005718055136705e-11,-6.518703375048684e-11,-5.091249033513554e-11,-3.9398398888481785e-11,-2.8165267900407264e-11,-1.9557348572637724e-11,-1.1156606567104668e-09,-8.769672047342119e-10,-7.055709434426889e-10,-5.453176397200318e-10,-4.1412817542305096e-10,-3.13779337910183e-10,-2.383875689913333e-10,-1.8258745664381632e-10,-1.496798990658766e-10,-1.1852407993133346e-10,-9.221250214634483e-11,-7.746593905242372e-11,-5.848735283729643e-11,-4.2828501986359556e-11,-3.1149028489628695e-11,-2.1452588486333198e-11,-1.4306096597173478e-11,-9.41814606869047e-12,-6.992916066569941e-12,-4.627340564520646e-12,-2.957590688482534e-12,-1.8638153923372967e-12,-1.1181023328179639e-12
4,-5.625396071876259e-09,-4.150785970331195e-09,-2.8815405788232802e-09,-2.059307066470768e-09,-1.4528386931199152e-09,-9.86466486360802e-10,-6.694168908721854e-10,-4.4954139817968785e-10,-3.066533290284792e-10,-2.1983033994638078e-10,-1.5758200635416027e-10,-1.0774129415966003e-10,-7.957314863886056e-11,-6.483621845737579e-11,-5.068896713332796e-11,-3.92673601489327e-11,-2.8116543005551555e-11,-1.9558779099466815e-11,-1.1118462439871645e-09,-8.732796114361518e-10,-7.022522411804995e-10,-5.424594839095562e-10,-4.1178912891543747e-10,-3.1194815022614174e-10,-2.3701878305052487e-10,-1.8161660576522356e-10,-1.4895756712793836e-10,-1.1803657440817477e-10,-9.191953415521542e-11,-7.727132397177573e-11,-5.84141879161941e-11,-4.283744631077771e-11,-3.120005083015893e-11,-2.1519466635918928e-11,-1.4368750099729588e-11,-9.467043115088136e-12,-7.0299242400629586e-12,-4.6520865961912516e-12,-2.9728062369629837e-12,-1.8726144161558606e-12,-1.1226724629973107e-12
5,-5.618482082905356e-09,-4.149681087626623e-09,-2.8845518865004497e-09,-2.0639484721665247e-09,-1.458020716130994e-09,-9.915025774010447e-10,-6.738220617245625e-10,-4.5313165975118574e-10,-3.0943291723342787e-10,-2.2194186027437873e-10,-1.5912610283972942e-10,-1.0876059301900142e-10,-8.027335974873849e-11,-6.537063156275434e-11,-5.106481944934636e-11,-3.952563915946058e-11,-2.8267229474737552e-11,-1.963810568140017e-11,-1.1172837858710449e-09,-8.781390411808338e-10,-7.065316252964877e-10,-5.461229732559588e-10,-4.148403823043149e-10,-3.1441161028540904e-10,-2.389324600480176e-10,-1.8304853459608444e-10,-1.5008497051530708e-10,-1.188737944704052e-10,-9.251408311167725e-11,-7.773663124833064e-11,-5.871663419435759e-11,-4.301776797198422e-11,-3.13022653619044e-11,-2.1569545554930178e-11,-1.4390546584627238e-11,-9.476138084811159e-12,-7.0357832252872275e-12,-4.655225764658742e-12,-2.9746377228766926e-12,-1.873837651530575e-12,-1.1235291206522548e-12
6,-5.6402481111391095e-09,-4.161484552344707e-09,-2.88804570774574e-09,-2.063118791270221e-09,-1.4548881150233723e-09,-9.874227192449522e-10,-6.698998874760669e-10,-4.4987110343651023e-10,-3.0697590442942246e-10,-2.2016088481487063e-10,-1.5789628248133092e-10,-1.0799996639296215e-10,-7.976830912840496e-11,-6.498672514123575e-11,-5.079653432161922e-11,-3.9339006460850597e-11,-2.8154946741762036e-11,-1.9575403988631726e-11,-1.1130050228812475e-09,-8.740338793676114e-10,-7.028589623888254e-10,-5.429797210758044e-10,-4.122824967969153e-10,-3.124158247663138e-10,-2.3743476863515357e-10,-1.8196196134365777e-10,-1.492410123245793e-10,-1.182543982339924e-10,-9.208102088001502e-11,-7.739863861768273e-11,-5.849794823708884e-11,-4.2886931703684356e-11,-3.1228431983371903e-11,-2.1535578469327485e-11,-1.4380264911553733e-11,-9.4778247935512e-12,-7.040310714143073e-12,-4.661736887529881e-12,-2.981179508891546e-12,-1.8794038884535515e-12,-1.12775971197862e-12
7,-5.622314045238432e-09,-4.1509307982343835e-09,-2.8839853142525633e-09,-2.0625674944748317e-09,-1.4562314262429184e-09,-9.895531174386123e-10,-6.719172163215006e-10,-4.5138970635081676e-10,-3.0792583810584673e-10,-2.2069038797082677e-10,-1.5813228894699786e-10,-1.0804601025001221e-10,-7.975166455916489e-11,-6.495834593475109e-11,-5.075751716355735e-11,-3.930225707319841e-11,-2.8123666040630277e-11,-1.955201016666892e-11,-1.1147657602107774e-09,-8.758286591649613e-10,-7.044003893360253e-10,-5.441820582640862e-10,-4.1310275696707956e-10,-3.1290500253849246e-10,-2.376806661866384e-10,-1.820505747977239e-10,-1.4926905017306112e-10,-1.1823941901710093e-10,-9.203414809562096e-11,-7.734642821273585e-11,-5.84416890818953e-11,-4.283699457746647e-11,-3.1188517437404094e-11,-2.150660504281343e-11,-1.436022781358171e-11,-9.464153183374919e-12,-7.029942816577112e-12,-4.654639659667424e-12,-2.9764845749065198e-12,-1.87637202985264e-12,-1.1259196726333918e-12
8,-5.614148573182494e-09,-4.143833352088378e-09,-2.878534073192491e-09,-2.0586843580540433e-09,-1.4536940845444033e-09,-9.881313442916959e-10,-6.712532779576589e-10,-4.511905400543203e-10,-3.079433207202196e-10,-2.207640951923498e-10,-1.5820428167010286e-10,-1.080854307767645e-10,-7.976515414461246e-11,-6.495946737665404e-11,-5.074695763055238e-11,-3.9285595430794304e-11,-2.8103020281323668e-11,-1.9531330818732147e-11,-1.1138795589606302e-09,-8.752698538660252e-10,-7.04033955641587e-10,-5.439721063654647e-10,-4.129911505283624e-10,-3.1284518613176497e-10,-2.3764408836851284e-10,-1.82018231470131e-10,-1.4923187889165076e-10,-1.1819595724095014e-10,-9.198571558601765e-11,-7.729617573315003e-11,-5.838996666092979e-11,-4.2787155456192364e-11,-3.1143678038309344e-11,-2.146984568288255e-11,-1.4332719040093677e-11,-9.445231671675635e-12,-7.01621206676841e-12,-4.646055768096917e-12,-2.971599862607934e-12,-1.8738124284324848e-12,-1.1247801706247484e-12
9,-5.655471201890993e-09,-4.174299753377562e-09,-2.898005842382647e-09,-2.0706018709416853e-09,-1.4602440394687196e-09,-9.909464155257895e-10,-6.720525583330945e-10,-4.510372298662548e-10,-3.0751875308482343e-10,-2.2037411068767902e-10,-1.5791904327468839e-10,-1.0792597636417557e-10,-7.967743902632912e-11,-6.490207037746868e-11,-5.071821039313109e-11,-3.9272098111335034e-11,-2.810064706809667e-11,-1.9532326117980533e-11,-1.1169965085269095e-09,-8.76950821934414e-10,-7.049142397124136e-10,-5.44228001666741e-10,-4.129019155686107e-10,-3.1263364245403055e-10,-2.3743507591316205e-10,-1.8186196960121394e-10,-1.4911749377088112e-10,-1.181214791945166e-10,-9.194341598415536e-11,-7.726760344794789e-11,-5.837734751815879e-11,-4.278171218040024e-11,-3.113836832968014e-11,-2.1461198901651786e-11,-1.4320187449065563e-11,-9.430539887012104e-12,-7.002281541510481e-12,-4.633504799086834e-12,-2.961205552074924e-12,-1.8657824524547703e-12,-1.1190294356164768e-12
