,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-5.6202515470462e-09,-4.149093059551471e-09,-2.882552890228496e-09,-2.061589439746e-09,-1.4556884551910634e-09,-9.894085977541233e-10,-6.720731504410855e-10,-4.51738862235411e-10,-3.0835316767544167e-10,-2.2110199246335422e-10,-1.5848418691430807e-10,-1.0830029108133431e-10,-7.992687138726527e-11,-6.508725024041563e-11,-5.084208205269327e-11,-3.935293568739313e-11,-2.8143662567581325e-11,-1.9552571907009433e-11,-1.1150584128365653e-09,-8.761886911631102e-10,-7.047910965421444e-10,-5.445903945947983e-10,-4.135079048762099e-10,-3.1328469099864056e-10,-2.3801322799760285e-10,-1.8231858364950034e-10,-1.4947921376186143e-10,-1.183889746350311e-10,-9.213217168434354e-11,-7.741458743723459e-11,-5.847213436519676e-11,-4.283895178769486e-11,-3.1173452066364025e-11,-2.1482600103992253e-11,-1.4334827411511634e-11,-9.441756284116781e-12,-7.011557365182641e-12,-4.6406670686811045e-12,-2.9664362463573925e-12,-1.869389354387747e-12,-1.1213041888589627e-12
1,-5.6205416027659114e-09,-4.149290092047213e-09,-2.882717249691529e-09,-2.0617595889252605e-09,-1.455863794141821e-09,-9.895792263362705e-10,-6.722232010860165e-10,-4.5185792117485493e-10,-3.0843755301867045e-10,-2.2115659102558053e-10,-1.5851436105494315e-10,-1.0831030716089375e-10,-7.992759675379717e-11,-6.508481408209408e-11,-5.083670263939933e-11,-3.9346768595619065e-11,-2.813738870150175e-11,-1.9547095194858656e-11,-1.115229211584707e-09,-8.763432158780249e-10,-7.049191849432102e-10,-5.446881178644077e-10,-4.135748628502236e-10,-3.1332534291842924e-10,-2.3803357988138207e-10,-1.823235926412709e-10,-1.494770314747378e-10,-1.1838115192931716e-10,-9.212011309687591e-11,-7.740164612240393e-11,-5.845855822703163e-11,-4.2826579075985805e-11,-3.116311627133466e-11,-2.1474837869752053e-11,-1.4329316883048252e-11,-9.43797125402078e-12,-7.008658227283854e-12,-4.638659826009447e-12,-2.9651045277248316e-12,-1.868507172471821e-12,-1.1207414513724933e-12
2,-5.620361291781654e-09,-4.1491874867859666e-09,-2.8826174895841754e-09,-2.061625840930828e-09,-1.4557019216775952e-09,-9.89405042305291e-10,-6.720609964867914e-10,-4.517240496601356e-10,-3.0834021472064484e-10,-2.2109225101681878e-10,-1.5847817445462523e-10,-1.0829809980891772e-10,-7.992686891870241e-11,-6.508819441332695e-11,-5.0843916711217685e-11,-3.935517287749957e-11,-2.8146130841486032e-11,-1.9554960038408784e-11,-1.1151027120209946e-09,-8.762261308416132e-10,-7.048243531534323e-10,-5.446201318446232e-10,-4.135345817362345e-10,-3.1330797138658387e-10,-2.380330263740686e-10,-1.8233545596968582e-10,-1.494939157464313e-10,-1.184015692573639e-10,-9.214290538199996e-11,-7.742404854878085e-11,-5.847988696512141e-11,-4.284505324748494e-11,-3.117820360924614e-11,-2.1486137355507504e-11,-1.4337335018204811e-11,-9.443490877451243e-12,-7.01284243847567e-12,-4.641512296566504e-12,-2.966976761790742e-12,-1.869720740813773e-12,-1.1214932746907746e-12
3,-5.62131060641973e-09,-4.150029417498747e-09,-2.8832251810203238e-09,-2.062004776550207e-09,-1.455898626510275e-09,-9.894682340138806e-10,-6.720528754255163e-10,-4.5168778941346437e-10,-3.083036369149251e-10,-2.2106770910115838e-10,-1.5846730198312136e-10,-1.0830122333079683e-10,-7.993734659247343e-11,-6.510097272172393e-11,-5.085880663922453e-11,-3.937008918763114e-11,-2.816013018272534e-11,-1.9566891805539537e-11,-1.1151063732982043e-09,-8.761958767234654e-10,-7.047902806111725e-10,-5.445898560067659e-10,-4.1351493720088376e-10,-3.132993047962868e-10,-2.3803414312787026e-10,-1.8234561080317113e-10,-1.495094552163437e-10,-1.1842137735289916e-10,-9.216581775568907e-11,-7.744728546802729e-11,-5.850298701557746e-11,-4.286610705845714e-11,-3.1196089423175466e-11,-2.1499961766140432e-11,-1.4347107606083959e-11,-9.449882441175292e-12,-7.017407711757152e-12,-4.6443218719282616e-12,-2.9685961039327743e-12,-1.8706099971185537e-12,-1.1219509403944189e-12
4,-5.622837634818725e-09,-4.1508655502363805e-09,-2.8835070951964224e-09,-2.0620184693463895e-09,-1.4557754018582647e-09,-9.892877325114908e-10,-6.718727464922581e-10,-4.5153172522543114e-10,-3.0817995227940495e-10,-2.20973865140373e-10,-1.584008152715251e-10,-1.0826098402238874e-10,-7.991293676960341e-11,-6.50843561201376e-11,-5.084961059251799e-11,-3.9365831011319475e-11,-2.816000275855498e-11,-1.9568935685146838e-11,-1.114955449633536e-09,-8.760513492238839e-10,-7.046663986407365e-10,-5.444896180492365e-10,-4.134375450921856e-10,-3.132406247672596e-10,-2.3799140110569776e-10,-1.8231703281464582e-10,-1.4948986227144242e-10,-1.184105114590361e-10,-9.216204613217899e-11,-7.744671005710433e-11,-5.850625440587188e-11,-4.2871579764274655e-11,-3.120205043698199e-11,-2.150554680258097e-11,-1.4351661806660795e-11,-9.45343759976969e-12,-7.020231243180357e-12,-4.6463834241107835e-12,-2.9700441092625408e-12,-1.8716053627648243e-12,-1.1225878284952344e-12
5,-5.624596604636196e-09,-4.1517829049465856e-09,-2.8838010266071294e-09,-2.062031401405065e-09,-1.4556506486818799e-09,-9.891076301784625e-10,-6.716960666866473e-10,-4.5138178347665626e-10,-3.0806383582685986e-10,-2.2088853160088686e-10,-1.5834222889910121e-10,-1.0822756028444956e-10,-7.989416253590592e-11,-6.507244033604905e-11,-5.0844201098671316e-11,-3.936432877638683e-11,-2.8161638013996676e-11,-1.957191824066145e-11,-1.114835956384385e-09,-8.759193957040391e-10,-7.045416827925682e-10,-5.443770989553657e-10,-4.133416800062892e-10,-3.131630488461545e-10,-2.379317208798501e-10,-1.8227463736071032e-10,-1.4945862317566996e-10,-1.1838978170069939e-10,-9.214995958872735e-11,-7.743881159652494e-11,-5.850349980085182e-11,-4.28722012086006e-11,-3.120428819268031e-11,-2.1508344537506284e-11,-1.4354392318733137e-11,-9.455649412958608e-12,-7.022015704132276e-12,-4.647703628078749e-12,-2.970962920687966e-12,-1.8722251892130285e-12,-1.1229895657004494e-12
6,-5.6270529589200775e-09,-4.153748498426564e-09,-2.8851400238196176e-09,-2.0628644119274976e-09,-1.4561003996764554e-09,-9.892810829886199e-10,-6.717184828807356e-10,-4.51335040934957e-10,-3.080007899591941e-10,-2.2083247924284156e-10,-1.5829865421894238e-10,-1.0819875575245766e-10,-7.987476271229242e-11,-6.505770633416039e-11,-5.083391312659432e-11,-3.935705735195344e-11,-2.8157070425310914e-11,-1.9569164632811407e-11,-1.1149375032183514e-09,-8.759318746383627e-10,-7.045113046351276e-10,-5.443176675973493e-10,-4.1327292438132956e-10,-3.130986812183932e-10,-2.378780961167717e-10,-1.8223335270540644e-10,-1.4942577540964516e-10,-1.1836514668971729e-10,-9.213219019139438e-11,-7.742469168282559e-11,-5.849399883226042e-11,-4.286625175801313e-11,-3.1200951623707035e-11,-2.150703902204729e-11,-1.4354427718727124e-11,-9.456449555730605e-12,-7.022916260955735e-12,-4.648612969610017e-12,-2.971715124746406e-12,-1.872767515309666e-12,-1.1233280267042945e-12
7,-5.629253593681683e-09,-4.15501074790474e-09,-2.885609802779226e-09,-2.062925446133235e-09,-1.4559449141784836e-09,-9.890340943540642e-10,-6.714761968746265e-10,-4.5113705814745306e-10,-3.0785538817722863e-10,-2.2072863955201779e-10,-1.5822721462022107e-10,-1.0815381990908683e-10,-7.984424767256924e-11,-6.503446164168048e-11,-5.081764002416642e-11,-3.934627689431271e-11,-2.8151494570690407e-11,-1.9567309250796897e-11,-1.1147234343346171e-09,-8.757083483719843e-10,-7.043015133941779e-10,-5.44130863996916e-10,-4.1311802500547486e-10,-3.129782053937193e-10,-2.3778902035202014e-10,-1.8216964967692879e-10,-1.4937721455704606e-10,-1.1833087509304543e-10,-9.2109903364012e-11,-7.740888795380067e-11,-5.848635427459316e-11,-4.286469312690438e-11,-3.120327616688484e-11,-2.1511454873283816e-11,-1.4359289540810409e-11,-9.460571734458966e-12,-7.025994848556194e-12,-4.650596511719056e-12,-2.972843458420537e-12,-1.8733454753469834e-12,-1.1235834161775564e-12
8,-5.628421966340665e-09,-4.154365911683844e-09,-2.88520132882193e-09,-2.0626835187247684e-09,-1.4558117767906826e-09,-9.889643825794138e-10,-6.714277739489974e-10,-4.5109052213725973e-10,-3.0780438368007317e-10,-2.206760740869331e-10,-1.581769304577949e-10,-1.0811043988606966e-10,-7.980938181199606e-11,-6.500642254926024e-11,-5.079621939797731e-11,-3.933132241081465e-11,-2.8143122646706875e-11,-1.9564050028007305e-11,-1.114727385301089e-09,-8.757013711891477e-10,-7.042748747412143e-10,-5.440846114182407e-10,-4.130571711635722e-10,-3.129119397052567e-10,-2.3772562964395907e-10,-1.8211366074554117e-10,-1.4933024361843653e-10,-1.182942176989335e-10,-9.20823770287453e-11,-7.73876696421595e-11,-5.847335136847879e-11,-4.2858760763024235e-11,-3.1202086966511175e-11,-2.1513233969724128e-11,-1.4361969298129309e-11,-9.462800603990292e-12,-7.027615085562526e-12,-4.651593367072908e-12,-2.9733879144788985e-12,-1.8736604630576665e-12,-1.1237856862444793e-12
9,-5.627841140422312e-09,-4.1540222929888684e-09,-2.885105408449152e-09,-2.0627332085360086e-09,-1.4559354817408322e-09,-9.891067661969002e-10,-6.715433018642063e-10,-4.5116098312630373e-10,-3.0783117463031605e-10,-2.206747689127273e-10,-1.5815942203656714e-10,-1.0808817048444046e-10,-7.979098153177082e-11,-6.499250554471333e-11,-5.0786643884984395e-11,-3.9325902969760967e-11,-2.8141537269743686e-11,-1.9564827309284772e-11,-1.1148275001580467e-09,-8.757752550312007e-10,-7.04318495135164e-10,-5.440976119731684e-10,-4.130447589509724e-10,-3.1288433015055185e-10,-2.3769254085330306e-10,-1.8208235424633016e-10,-1.4930440843875583e-10,-1.1827505223603536e-10,-9.20690368328145e-11,-7.73781386958646e-11,-5.846866752467507e-11,-4.2857838316097746e-11,-3.120303486151064e-11,-2.151484317880845e-11,-1.4363200043521315e-11,-9.46340566159774e-12,-7.027901402055774e-12,-4.6516246763853545e-12,-2.973341512995086e-12,-1.873626196551511e-12,-1.1238051743492099e-12
