,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
0,-5.666215983910917e-09,-4.11924594561068e-09,-2.8337406813876764e-09,-1.9048886483847384e-09,-1.2865545802747743e-09,-8.68219266399233e-10,-5.895224461763056e-10,-4.0319368173861204e-10,-2.807479148011871e-10,-1.9994017304922296e-10,-1.447211150863507e-10,-9.988687078536524e-11,-6.988590212607555e-11,-5.246853984565045e-11,-4.116437603059124e-11,-3.019874796035036e-11,-2.1357705945083894e-11,-1.4867222526286622e-11,-9.52107787883367e-10,-7.35637763400321e-10,-5.647857807650002e-10,-4.3095489872363804e-10,-3.284584140774964e-10,-2.5169454624652465e-10,-1.9465302546205573e-10,-1.5127781152238237e-10,-1.1253901358069961e-10,-8.415385216530291e-11,-6.648859847709343e-11,-5.442153404195636e-11,-4.2033432894117295e-11,-3.13986978171718e-11,-2.3051153254807553e-11,-1.601628754308721e-11,-1.0824733525114659e-11,-7.224649509717743e-12,-4.676283821532157e-12,-2.9121823301233163e-12,-1.7918575629870797e-12,-1.098473965076184e-12,-6.548840410277356e-13
1,-5.666260919615178e-09,-4.1192609555579415e-09,-2.8338016560129496e-09,-1.9050131155206545e-09,-1.2867370983411426e-09,-8.684030243431733e-10,-5.896813509761566e-10,-4.033226295772209e-10,-2.808381502317073e-10,-1.99995660213233e-10,-1.4474755443825467e-10,-9.989174851818906e-11,-6.987693372323258e-11,-5.2458986421507654e-11,-4.114950531316187e-11,-3.018579274582405e-11,-2.1345791837773933e-11,-1.4841781586392202e-11,-9.523047540248073e-10,-7.358237503933272e-10,-5.649445799876802e-10,-4.31083464066621e-10,-3.285506720440312e-10,-2.5175671969657297e-10,-1.9468994183883234e-10,-1.5129320562138887e-10,-1.1253599743847122e-10,-8.414300791549474e-11,-6.647259155023131e-11,-5.440513980705611e-11,-4.201783368945226e-11,-3.1385323364824916e-11,-2.3040266119070078e-11,-1.6008395731131294e-11,-1.081929801563291e-11,-7.2210820139209825e-12,-4.674121564174685e-12,-2.9106636552687375e-12,-1.7908220960277618e-12,-1.0979251228995582e-12,-6.546232068639474e-13
2,-5.66642458532537e-09,-4.119387144657661e-09,-2.8338116197531804e-09,-1.9049016069728885e-09,-1.2865218050347134e-09,-8.681754297448692e-10,-5.89479436804129e-10,-4.0315600007643516e-10,-2.807238451506406e-10,-1.9992404857236124e-10,-1.4471519241212168e-10,-9.988237664468108e-11,-6.988433241287527e-11,-5.247482743235344e-11,-4.116708296650009e-11,-3.020466383004173e-11,-2.136177271124917e-11,-1.4872913600491443e-11,-9.520829308453663e-10,-7.356145561641462e-10,-5.647625180804979e-10,-4.3093711935833605e-10,-3.28444551797379e-10,-2.516875635167366e-10,-1.9465240301894824e-10,-1.5128044513855824e-10,-1.1254442557839344e-10,-8.416211350338891e-11,-6.649562696887178e-11,-5.4428232915772406e-11,-4.2039235610548836e-11,-3.1403872763391535e-11,-2.3055353806670723e-11,-1.6019320315557243e-11,-1.0826914745028682e-11,-7.2263299074198544e-12,-4.677199130745247e-12,-2.9127051073414053e-12,-1.7921197488896258e-12,-1.098598663155432e-12,-6.550040169466078e-13
3,-5.667636925861267e-09,-4.120453234382675e-09,-2.834555181871787e-09,-1.905327111568702e-09,-1.2867255163058487e-09,-8.682466517797059e-10,-5.894805262070915e-10,-4.031389453886758e-10,-2.806970528965769e-10,-1.9990403015803975e-10,-1.4470467769106652e-10,-9.988997912036616e-11,-6.989772905989903e-11,-5.2484703367866014e-11,-4.1177913915601655e-11,-3.0212220384702096e-11,-2.1363842587625035e-11,-1.4848460715888387e-11,-9.521713450765739e-10,-7.356480837991744e-10,-5.647677116922023e-10,-4.309304587542793e-10,-3.284344342942702e-10,-2.516825306880588e-10,-1.9465673809041342e-10,-1.5129237397820107e-10,-1.1256199064064014e-10,-8.418340591914449e-11,-6.651973650172753e-11,-5.445241910912236e-11,-4.2062165242484634e-11,-3.142309072026983e-11,-2.307119554864003e-11,-1.603091867120545e-11,-1.0833956807242869e-11,-7.231860267300562e-12,-4.680891787959151e-12,-2.91474547641387e-12,-1.7933839030490542e-12,-1.0994406002532354e-12,-6.553370577881415e-13
4,-5.669461810882898e-09,-4.121439860336634e-09,-2.83491649873981e-09,-1.905334172701358e-09,-1.2865914438184365e-09,-8.680728107861894e-10,-5.893274269146528e-10,-4.0300290582076094e-10,-2.806005815601506e-10,-1.998364400298451e-10,-1.4466622554820787e-10,-9.986226095921706e-11,-6.988850043427938e-11,-5.248395459839614e-11,-4.118397750790784e-11,-3.022335752377157e-11,-2.1386365408149557e-11,-1.490176168220647e-11,-9.519931288489898e-10,-7.354718538198686e-10,-5.646049035947458e-10,-4.3079270940204964e-10,-3.2832286367389227e-10,-2.5159906007275554e-10,-1.9459533498925028e-10,-1.5125012012134606e-10,-1.1254306603524877e-10,-8.417986542180763e-11,-6.652257283129204e-11,-5.4459542082006595e-11,-4.207153305794425e-11,-3.143345804822129e-11,-2.3080853908844342e-11,-1.6038723594968997e-11,-1.0841157048222071e-11,-7.2358962932937465e-12,-4.683348825290468e-12,-2.91647456750605e-12,-1.7943050605249494e-12,-1.0999353628874285e-12,-6.557388901048613e-13
5,-5.671533202148298e-09,-4.122526730867637e-09,-2.8352842661791208e-09,-1.905330565261776e-09,-1.2864395209432463e-09,-8.678732594960811e-10,-5.891367662953932e-10,-4.028489660840588e-10,-2.804776650575073e-10,-1.9974345122795095e-10,-1.4459288462720983e-10,-9.982032736871152e-11,-6.986569369492265e-11,-5.2471982578931194e-11,-4.117737382028541e-11,-3.021779995637014e-11,-2.137408630600263e-11,-1.486662906201054e-11,-9.517978657078723e-10,-7.352730373689196e-10,-5.644198760043724e-10,-4.3062683118218925e-10,-3.2818660439991283e-10,-2.5148956612640803e-10,-1.9451382596613839e-10,-1.5119573954553994e-10,-1.1251144677517012e-10,-8.416451833486087e-11,-6.651596386591759e-11,-5.445666105094305e-11,-4.207324896955576e-11,-3.143692632191067e-11,-2.3084419196653713e-11,-1.6041502461887642e-11,-1.084326968137749e-11,-7.237685018930744e-12,-4.684781867445107e-12,-2.9174765239407025e-12,-1.7952762796530415e-12,-1.1008043588043943e-12,-6.560356200479695e-13
6,-5.673572259202032e-09,-4.124165437606972e-09,-2.8363990166504397e-09,-1.9059439995221797e-09,-1.2867140870838897e-09,-8.679524591550771e-10,-5.891209746794174e-10,-4.0279645308369665e-10,-2.8042052229208547e-10,-1.996950263562971e-10,-1.4455899539616754e-10,-9.980151614083885e-11,-6.985283395617732e-11,-5.246617743892039e-11,-4.1174949205296514e-11,-3.022149820881232e-11,-2.138658458807936e-11,-1.4915823414954858e-11,-9.519025757840477e-10,-7.352899135100216e-10,-5.643872052273404e-10,-4.305718084750726e-10,-3.281270559738151e-10,-2.5143580825485313e-10,-1.9446952219735973e-10,-1.5116239712962402e-10,-1.1249018804353703e-10,-8.415238534619616e-11,-6.650854256885412e-11,-5.445306570490035e-11,-4.207156571426566e-11,-3.143754179365223e-11,-2.3085571908999532e-11,-1.604396134886898e-11,-1.0845773039823702e-11,-7.239651278270342e-12,-4.686213661594628e-12,-2.918374654713721e-12,-1.79554665701207e-12,-1.1006280364361367e-12,-6.561477555343639e-13
7,-5.675950397773739e-09,-4.12554562406933e-09,-2.8369300354342544e-09,-1.9059642757421684e-09,-1.2865119682408621e-09,-8.67695715613156e-10,-5.888920631369526e-10,-4.026153109855899e-10,-2.802913877239418e-10,-1.996015946755778e-10,-1.4449798923357573e-10,-9.976728879801813e-11,-6.98291232776727e-11,-5.244731879178262e-11,-4.1161239129945804e-11,-3.020418814464808e-11,-2.1357920959636397e-11,-1.4836429535685526e-11,-9.51701043243052e-10,-7.350691436600995e-10,-5.641802750954362e-10,-4.3039763068377823e-10,-3.279908870970508e-10,-2.5133519298496505e-10,-1.9439736078772676e-10,-1.5111141647536692e-10,-1.1245626617860826e-10,-8.413052231371536e-11,-6.649439323547574e-11,-5.44441456845231e-11,-4.206762597241358e-11,-3.1435939890213654e-11,-2.3086183073732823e-11,-1.6047465564885145e-11,-1.084889062064765e-11,-7.2423878147121376e-12,-4.688358840994138e-12,-2.9195913130160416e-12,-1.7963279793047896e-12,-1.1008661939776649e-12,-6.563588150903165e-13
8,-5.675130652248262e-09,-4.124863797249919e-09,-2.8364601930348216e-09,-1.905684810414095e-09,-1.2863510170707959e-09,-8.67587342634908e-10,-5.887924986815461e-10,-4.02530143886492e-10,-2.802118533963553e-10,-1.995376639331944e-10,-1.4443965683925732e-10,-9.971824359139175e-11,-6.979399069179935e-11,-5.242321521720003e-11,-4.114412892997365e-11,-3.019795420537362e-11,-2.135797040118295e-11,-1.4845143994750276e-11,-9.515658054702556e-10,-7.349472334991617e-10,-5.640671416515799e-10,-4.3029271243680346e-10,-3.2789561929546153e-10,-2.512513479588973e-10,-1.9432568924000907e-10,-1.5105183369211657e-10,-1.1241244801255599e-10,-8.41001077450032e-11,-6.647461328238937e-11,-5.443147227105744e-11,-4.2062620704516825e-11,-3.1438234301778524e-11,-2.3092750417882284e-11,-1.605336199299479e-11,-1.0853960485976067e-11,-7.246033800935516e-12,-4.689993660220729e-12,-2.92040017227717e-12,-1.796597714567611e-12,-1.1011535826894987e-12,-6.564723620435445e-13
9,-5.6740886246012516e-09,-4.124247802868505e-09,-2.8362780349979623e-09,-1.9057919150112466e-09,-1.2865745292562628e-09,-8.678121835264284e-10,-5.889650891510266e-10,-4.026297858802788e-10,-2.802500677282786e-10,-1.9953162942414106e-10,-1.4441914973309872e-10,-9.968887414991809e-11,-6.977844064097382e-11,-5.241355416674885e-11,-4.113590005972916e-11,-3.019195857736299e-11,-2.1345033350212585e-11,-1.479997046277483e-11,-9.517334471011652e-10,-7.350972338639682e-10,-5.641811759997021e-10,-4.303633895769701e-10,-3.2792646058077067e-10,-2.512519134220914e-10,-1.94307833242222e-10,-1.510269140026168e-10,-1.1238892681759588e-10,-8.408338628685582e-11,-6.646403940853921e-11,-5.442521491855243e-11,-4.20612509299171e-11,-3.143948052881215e-11,-2.3094720285656755e-11,-1.6055107942889277e-11,-1.0855532008174119e-11,-7.246475962978257e-12,-4.690449645520712e-12,-2.9204878650495e-12,-1.7967164739842503e-12,-1.1013053357168428e-12,-6.564559522727261e-13
10,-5.67471033674761e-09,-4.124877371316779e-09,-2.8368462736010716e-09,-1.9062825331857187e-09,-1.2869820008819928e-09,-8.681234405129902e-10,-5.892057503698241e-10,-4.0279922587520616e-10,-2.803650869127764e-10,-1.996155649660715e-10,-1.4446743809471433e-10,-9.972176530703332e-11,-6.979640344877351e-11,-5.242816032751215e-11,-4.115149899019329e-11,-3.0208833168336964e-11,-2.1379888833553107e-11,-1.4897473917072285e-11,-9.52068917831027e-10,-7.353797530943814e-10,-5.644091195940869e-10,-4.3053943721474255e-10,-3.2805611536814073e-10,-2.5134433513770816e-10,-1.9437325171564324e-10,-1.5107278511049112e-10,-1.124194608866254e-10,-8.410455845513556e-11,-6.647900812904435e-11,-5.443621075684339e-11,-4.206689096030279e-11,-3.144067598429622e-11,-2.3092456475149634e-11,-1.6051238092368434e-11,-1.085130566018843e-11,-7.243391431665489e-12,-4.68837679224937e-12,-2.9196170570381183e-12,-1.7960877072672403e-12,-1.1012027124773011e-12,-6.567233999336103e-13
11,-5.675457823573083e-09,-4.126349139718611e-09,-2.8384791501022863e-09,-1.9076446295085013e-09,-1.287976524475859e-09,-8.68800571095505e-10,-5.896324288214169e-10,-4.030827751281364e-10,-2.8055364161883114e-10,-1.9974827374307536e-10,-1.4456762981811308e-10,-9.978951903497662e-11,-6.984147136371101e-11,-5.246006186736153e-11,-4.1166499287357285e-11,-3.0215954521134285e-11,-2.137721749791873e-11,-1.4885614712656702e-11,-9.528311529554328e-10,-7.359605820081684e-10,-5.648371664631412e-10,-4.3084774494142517e-10,-3.2827815332782625e-10,-2.5150556828182604e-10,-1.944919594275625e-10,-1.5116020507108512e-10,-1.1247853438203855e-10,-8.414210660943663e-11,-6.65021762597414e-11,-5.444960419538409e-11,-4.2070246100483855e-11,-3.1436645662812056e-11,-2.3084923063795443e-11,-1.6042579196553115e-11,-1.084432769358313e-11,-7.238551423408463e-12,-4.685389969038233e-12,-2.918281219302152e-12,-1.7958407004183298e-12,-1.1011285056864276e-12,-6.567185458751606e-13
12,-5.6781749832136235e-09,-4.128632065161696e-09,-2.8401341089028033e-09,-1.908743454832209e-09,-1.2886581745166217e-09,-8.692097172332567e-10,-5.89885803615047e-10,-4.032313250017086e-10,-2.8065383275677823e-10,-1.9981781610617744e-10,-1.4461093083035684e-10,-9.982233637885516e-11,-6.985769973212125e-11,-5.2470712492946503e-11,-4.11757430528244e-11,-3.021073774625934e-11,-2.1359132495475397e-11,-1.4831086406217835e-11,-9.532825635926277e-10,-7.362748825559195e-10,-5.650537770203441e-10,-4.309968237233074e-10,-3.2838151201405147e-10,-2.5157803420140976e-10,-1.9454379529719626e-10,-1.5119594066112476e-10,-1.1249969536981234e-10,-8.415179802261674e-11,-6.650453096965117e-11,-5.4447230170824384e-11,-4.206431607879435e-11,-3.1428762872515924e-11,-2.3077139155469144e-11,-1.6036170476406696e-11,-1.0839546776509074e-11,-7.235786067538834e-12,-4.684266074092261e-12,-2.917798584189937e-12,-1.7957259066273278e-12,-1.101262388581174e-12,-6.568603689112881e-13
